구 분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,"7,780,994","21,841,816","57,135,313","15,307,502","1,601,400","103,667,025"
- 취득원가,"7,782,125","33,244,532","175,487,461","15,307,502","4,022,759","235,844,379"
- 감가상각누계액(손상 포함),"(1,131)","(11,402,716)","(118,352,148)",-,"(2,421,359)","(132,177,354)"
일반취득 및 자본적지출(*),154,"3,246,081","26,182,600","13,481,591","1,085,750","43,996,176"
감가상각,(439),"(1,827,588)","(21,889,623)",-,"(594,290)","(24,311,940)"
처분ㆍ폐기,"(27,720)","(20,264)","(137,496)",-,"(8,247)","(193,727)"
기타,-,"6,577","135,746","(20,729)","(12,142)","109,452"
기말장부금액,"7,752,989","23,246,622","61,426,540","28,768,364","2,072,471","123,266,986"
- 취득원가,"7,754,559","36,449,026","199,823,339","28,768,364","4,886,059","277,681,347"
- 감가상각누계액(손상 포함),"(1,570)","(13,202,404)","(138,396,799)",-,"(2,813,588)","(154,414,361)"
