구 분,당기,전기
매출채권의 감소(증가),"(6,883,154)","12,354,628"
미수금의 감소(증가),"612,652","(711,933)"
장단기선급비용의 감소(증가),"(339,588)","11,033"
재고자산의 감소(증가),"(4,399,456)","(14,337,291)"
매입채무의 증가(감소),"(701,579)","(2,494,560)"
장단기미지급금의 증가(감소),"(335,900)","1,522,457"
선수금의 증가(감소),"(18,100)","(154,042)"
예수금의 증가(감소),"(77,884)","(101,231)"
미지급비용의 증가(감소),"(1,677,917)","88,828"
장단기충당부채의 증가(감소),"1,076,981","74,664"
퇴직금의 지급,"(702,328)","(492,366)"
사외적립자산의 감소(증가),"(156,245)","(1,402,489)"
기타,"386,971","(1,225,967)"
계,"(13,215,547)","(6,868,269)"
