구 분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산:,,,,
현금및현금성자산,"6,061,451",(*1),"3,921,593",(*1)
단기금융상품,"50,071",(*1),137,(*1)
매출채권,"27,363,016",(*1),"20,503,223",(*1)
기타포괄손익-공정가치금융자산,"1,854,503","1,854,503","1,364,325","1,364,325"
당기손익-공정가치금융자산,1,1,283,283
기타(*2),"5,365,519","393,235","5,470,355",(*1)
계,"40,694,561",,"31,259,916",
금융부채:,,,,
매입채무,"7,943,834",(*1),"8,729,315",(*1)
단기차입금,"5,625,163",(*1),"2,381,512",(*1)
미지급금,"15,015,578",(*1),"18,324,604",(*1)
유동성장기부채,"228,491","6,757","135,753","6,580"
- 유동성장기차입금,"222,137",(*3),"129,525",(*3)
- 유동성사채,"6,354","6,757","6,228","6,580"
사채,"19,064","21,695","24,912","27,845"
장기차입금,"22,902,035",(*1)(*3),"654,979",(*3)
장기미지급금,"4,486,390",(*1),"2,083,790",(*1)
기타,"3,652,969",(*1),"3,145,473",(*1)
계,"59,873,524",,"35,480,338",
