지역,기업명,업종,지분율(%)(*)
중동ㆍ아프리카,"Samsung Gulf Electronics Co., Ltd. (SGE)",전자제품 판매,100.0
Samsung Electronics Turkiye (SETK),전자제품 판매,100.0,
Samsung Electronics Industry and Commerce Ltd. (SETK-P),전자제품 생산,100.0,
"Samsung Electronics Levant Co., Ltd. (SELV)",전자제품 판매,100.0,
Samsung Electronics Maghreb Arab (SEMAG),전자제품 판매,100.0,
Samsung Electronics Egypt S.A.E (SEEG),전자제품 생산 및 판매,100.0,
Samsung Electronics Israel Ltd. (SEIL),마케팅,100.0,
Samsung Electronics Tunisia S.A.R.L (SETN),마케팅,100.0,
Samsung Electronics Pakistan(Private) Ltd. (SEPAK),마케팅,100.0,
Samsung Electronics Saudi Arabia Ltd. (SESAR),전자제품 판매,100.0,
"Samsung Semiconductor Israel R&D Center, Ltd. (SIRC)",R&D,100.0,
Corephotonics Ltd.,R&D,100.0,
Samsung Electronics South Africa(Pty) Ltd. (SSA),전자제품 판매,100.0,
Samsung Electronics South Africa Production (pty) Ltd. (SSAP),TVㆍ모니터 생산,100.0,
Samsung Electronics West Africa Ltd. (SEWA),마케팅,100.0,
Samsung Electronics East Africa Ltd. (SEEA),마케팅,100.0,
Global Symphony Technology Group Private Ltd.,해외자회사 관리,100.0,
Harman Connected Services Morocco,Connected Service Provider,100.0,
Harman Industries Holdings Mauritius Ltd.,해외자회사 관리,100.0,
Red Bend Ltd.,오디오제품 생산,100.0,
