기업명(*),당기,,,
자산,부채,매출액,당기순이익(손실),
삼성디스플레이㈜,"67,541,382","8,305,660","25,401,419","5,989,037"
"Samsung Electronics America, Inc. (SEA)","50,777,503","18,653,435","40,650,074","1,628,652"
Samsung Asia Pte. Ltd. (SAPL),"31,226,978","353,722",-,"5,326,248"
"Samsung (China) Semiconductor Co., Ltd. (SCS)","18,796,411","900,205","11,180,211","1,195,361"
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","16,111,528","15,246,946","2,754,791","300,719"
Samsung India Electronics Private Ltd. (SIEL),"9,561,708","3,226,735","17,048,976","1,408,392"
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),"9,093,393","3,452,430",-,"195,012"
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","6,467,878","5,635,634","30,068,460","468,408"
Samsung Eletronica da Amazonia Ltda. (SEDA),"4,679,383","1,486,272","7,935,236","208,102"
Samsung Electronics (UK) Ltd. (SEUK),"3,267,763","2,042,914","6,158,787","181,457"
"Thai Samsung Electronics Co., Ltd. (TSE)","2,637,138","502,266","4,513,870","166,928"
"Samsung Electronics Taiwan Co., Ltd. (SET)","2,411,145","1,642,510","5,744,458","62,255"
세메스㈜,"2,365,712","705,818","2,432,656","144,665"
Samsung Electronics Mexico S.A. De C.V. (SEM),"2,017,910","845,480","4,086,721","125,857"
Samsung Electronics Europe Logistics B.V. (SELS),"1,928,760","1,710,124","15,682,546","(12,249)"
