구 분,당기,,,,
삼성전기㈜,삼성에스디에스㈜,삼성바이오로직스㈜,삼성SDI㈜,㈜제일기획,
요약 재무상태표:,,,,,
유동자산,"5,891,746","9,003,787","5,518,118","10,334,313","2,754,194"
비유동자산,"6,900,656","4,234,543","11,818,179","30,263,032","568,459"
유동부채,"3,056,861","2,495,409","3,853,188","10,855,694","1,594,190"
비유동부채,"719,688","1,037,472","2,578,432","8,174,413","251,659"
요약 포괄손익계산서:,,,,,
매출,"10,294,103","13,828,232","4,547,322","16,592,249","4,344,257"
계속영업손익(*),"640,865","756,997","1,083,316","544,239","207,515"
세후중단영업손익(*),"38,265",-,-,"55,051",-
기타포괄손익(*),"349,340","144,625","(9,132)","722,676","76,571"
총포괄손익(*),"1,028,470","901,622","1,074,184","1,321,966","284,086"
