구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이㈜,"347,653",-,"1,842,995","10,406"
"Samsung Electronics America, Inc. (SEA)","29,881,238",-,"222,087",-,
Samsung Asia Pte. Ltd. (SAPL),"16,989,574",-,"21,813",-,
Harman과 그 종속기업(*2),938,-,"56,890",-,
Samsung Austin Semiconductor LLC. (SAS),"2,823","4,610","4,109,744","1,657",
"Samsung (China) Semiconductor Co., Ltd. (SCS)","83,033","38,085","8,691,615","12,435",
"Samsung Semiconductor, Inc. (SSI)","21,587,458",-,"682,687",-,
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","4,338,706",196,"20,044,847",591,
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","4,892,443",-,"10,186",-,
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),"671,024",-,-,-,
Samsung India Electronics Private Ltd. (SIEL),"3,714,751",210,"4,636,864",-,
"Samsung Display Vietnam Co., Ltd. (SDV)","1,496,684",-,-,-,
"Samsung Electronics Vietnam Co., Ltd. (SEV)","2,434,796",18,"13,251,399",774,
Samsung Eletronica da Amazonia Ltda. (SEDA),"1,449,960",-,"13,791",-,
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","15,336,448",-,-,-,
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","542,912","4,101","5,209,254",-,
"Thai Samsung Electronics Co., Ltd. (TSE)","2,085,433",-,"2,062,771",-,
Samsung Electronics (UK) Ltd. (SEUK),"1,762,387",-,"109,697",-,
세메스㈜,"7,285",-,"2,245,344",-,
Samsung Electronics Mexico S.A. De C.V. (SEM),"2,668,921",-,"7,501",-,
Samsung Electronics GmbH (SEG),"3,620,706",-,"7,018",-,
"Samsung International, Inc. (SII)","264,826",51,"6,397,400",-,
"Samsung Electronics Taiwan Co., Ltd. (SET)","3,500,155",-,"1,261",-,
Samsung Electronics Benelux B.V. (SEBN),"1,589,366",-,"1,175",-,
Samsung Electronics Europe Logistics B.V. (SELS),"5,070,057",-,"8,132",-,
기타,"50,707,430","3,780","13,212,836","3,689",
계,"175,047,007","51,051","82,847,307","29,552",
