구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,"64,853","218,158"
"Samsung Electronics America, Inc. (SEA)","4,440,842","637,861",
Samsung Asia Pte. Ltd. (SAPL),"1,817","1,301",
Samsung Austin Semiconductor LLC. (SAS),"7,277","584,322",
"Samsung Semiconductor, Inc. (SSI)","11,910,574","340,273",
Harman과 그 종속기업(*2),"8,749","20,906",
"Samsung (China) Semiconductor Co., Ltd. (SCS)","59,706","970,717",
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","190,954","363,362",
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","833,617","2,620,106",
Samsung India Electronics Private Ltd. (SIEL),"696,280","430,196",
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),"3,256",-,
"Samsung Electronics Vietnam Co., Ltd. (SEV)","513,163","2,010,992",
"Samsung Display Vietnam Co., Ltd. (SDV)","97,479",362,
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","4,859,048",82,
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","137,456","620,008",
Samsung Eletronica da Amazonia Ltda. (SEDA),"271,048","9,157",
Samsung Electronics (UK) Ltd. (SEUK),"93,808","30,843",
"Thai Samsung Electronics Co., Ltd. (TSE)","98,027","262,109",
"Samsung International, Inc. (SII)","167,656","212,535",
"Samsung Electronics Taiwan Co., Ltd. (SET)","388,807","69,362",
세메스㈜,"81,448","699,286",
Samsung Electronics GmbH (SEG),"16,599","95,727",
Samsung Electronics Mexico S.A. De C.V. (SEM),"88,572","2,064",
Samsung Electronics Europe Logistics B.V. (SELS),"424,204","244,987",
Samsung Electronics Benelux B.V. (SEBN),"23,398","7,495",
기타,"6,759,498","3,156,728",
계,"32,238,136","13,608,939",
