구분,토지,건물및구축물,기계장치,건설중인자산,기타,합 계
기초장부가액,5946296.0,8321327.0,21321365.0,5248370.0,602014.0,41439372.0
취득원가,5946296.0,11919933.0,74175971.0,5248370.0,1659337.0,98949907.0
감가상각누계액  (손상차손누계액 포함),0.0,-3598606.0,-52854606.0,0.0,-1057323.0,-57510535.0
일반취득 및 자본적지출,350062.0,748984.0,6339109.0,4340717.0,278919.0,12057791.0
감가상각,0.0,-558213.0,-8454436.0,0.0,-206713.0,-9219362.0
처분/폐기,-820.0,-51684.0,-152922.0,0.0,-7441.0,-212867.0
기타 (*),0.0,-801.0,-7612.0,-298441.0,-13821.0,-320675.0
기말장부가액,6295538.0,8459613.0,19045504.0,9290646.0,652958.0,43744259.0
취득원가,6295538.0,12555904.0,74041997.0,9290646.0,1522759.0,103706844.0
감가상각누계액  (손상차손누계액 포함),0.0,-4096291.0,-54996493.0,0.0,-869801.0,-59962585.0
