구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,652082.0,8.0,4361957.0,2502.0
종속기업,Samsung Electronics America(SEA),12442825.0,0.0,11636.0,0.0
종속기업,Samsung (China) Investment(SCIC),1027846.0,0.0,10446.0,0.0
종속기업,Samsung Semiconductor(SSI),12978267.0,0.0,147989.0,0.0
종속기업,Samsung Austin Semiconductor(SAS),21384.0,80912.0,2416114.0,262130.0
종속기업,Samsung Electronics Europe Holding(SEEH),2185.0,0.0,0.0,0.0
종속기업,Samsung Electronics Vietnam(SEV),352753.0,3729.0,22288170.0,0.0
종속기업,Samsung Telecommunications America(STA),17110334.0,0.0,281826.0,0.0
종속기업,Samsung Electronics Huizhou(SEHZ),1059420.0,2708.0,12589375.0,0.0
종속기업,Samsung (China) Semiconductor(SCS),380.0,6358.0,0.0,0.0
종속기업,Samsung Electronica da Amazonia(SEDA),1783270.0,0.0,30593.0,0.0
종속기업,Tianjin Samsung Telecom Technology(TSTC),1541899.0,0.0,2586828.0,14.0
종속기업,Samsung Asia Private(SAPL),2999414.0,0.0,21154.0,0.0
종속기업,Samsung India Electronics(SIEL),2617591.0,3194.0,188861.0,12.0
종속기업,Samsung Electronics Europe Logistics(SELS),6442298.0,0.0,5604.0,0.0
종속기업,Samsung Electronics Slovakia(SESK),751333.0,0.0,5677.0,0.0
종속기업,Samsung Electronics Mexico(SEM),2261510.0,0.0,495558.0,0.0
종속기업,Thai Samsung Electronics(TSE),1993744.0,0.0,1756113.0,0.0
종속기업,Samsung Suzhou LCD(SSL),8891.0,0.0,0.0,0.0
종속기업,Samsung Electronics Rus Company(SERC),3185414.0,0.0,4418.0,0.0
종속기업,Samsung Electronics (UK)(SEUK),3922079.0,0.0,70839.0,0.0
종속기업,Samsung Electronics Taiwan(SET),2489683.0,0.0,1416.0,0.0
종속기업,Shanghai Samsung Semiconductor(SSS),6728630.0,0.0,0.0,0.0
종속기업,Samsung Electronics Benelux(SEBN),1647636.0,0.0,0.0,0.0
종속기업,Samsung Electronics Hungarian(SEH),169915.0,0.0,4063.0,0.0
종속기업,기타,55142168.0,28279.0,24289893.0,16096.0
종속기업,종속기업 계,139332951.0,125188.0,71568530.0,280754.0
관계기업,삼성에스디에스,31065.0,130771.0,1458481.0,263816.0
관계기업,삼성전기,71256.0,177.0,1207050.0,76.0
관계기업,삼성에스엔에스(*),9182.0,0.0,137163.0,2397.0
관계기업,삼성테크윈,2781.0,0.0,71706.0,46962.0
관계기업,삼성카드,22091.0,0.0,14690.0,0.0
관계기업,기타,122639.0,0.0,144482.0,1105.0
관계기업,관계기업 계,259014.0,130948.0,3033572.0,314356.0
