과 목,주석,자본금,주식발행 초과금,이익잉여금,기타자본항목,매각예정분류 기타자본항목,총 계
2014.1.1 (전기초),,897514.0,4403893.0,122029419.0,-4960059.0,0.0,122370767.0
Ⅰ. 총포괄손익,,,,,,,
1. 당기순이익,,0.0,0.0,14591781.0,0.0,0.0,14591781.0
2. 매도가능금융자산평가,"9, 23",0.0,0.0,0.0,-454095.0,0.0,-454095.0
3. 순확정급여자산 재측정요소,"17, 23",0.0,0.0,0.0,-572373.0,0.0,-572373.0
4. 매각예정분류,,0.0,0.0,0.0,-24750.0,24750.0,0.0
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,,
1. 배당,"21, 22",0.0,0.0,-2157011.0,0.0,0.0,-2157011.0
2. 자기주식의 취득,"23, 24",0.0,0.0,0.0,-1125322.0,0.0,-1125322.0
3. 자기주식의 처분,"23, 24",0.0,0.0,0.0,32764.0,0.0,32764.0
4. 주식선택권,"23, 24",0.0,0.0,0.0,-9436.0,0.0,-9436.0
2014.12.31 (전기말),,897514.0,4403893.0,134464189.0,-7113271.0,24750.0,132677075.0
2015.1.1 (당기초),,897514.0,4403893.0,134464189.0,-7113271.0,24750.0,132677075.0
Ⅰ. 총포괄손익,,,,,,,
1. 당기순이익,,0.0,0.0,12238469.0,0.0,0.0,12238469.0
2. 매도가능금융자산평가,"9, 23",0.0,0.0,0.0,-601594.0,-24750.0,-626344.0
3. 순확정급여자산 재측정요소,"17, 23",0.0,0.0,0.0,225048.0,0.0,225048.0
4. 매각예정분류,,0.0,0.0,0.0,-23797.0,23797.0,0.0
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,,
1. 배당,"21, 22",0.0,0.0,-3073481.0,0.0,0.0,-3073481.0
2. 자기주식의 취득,"23, 24",0.0,0.0,0.0,-5015112.0,0.0,-5015112.0
3. 자기주식의 처분,"23, 24",0.0,0.0,0.0,3406.0,0.0,3406.0
4. 주식선택권,"23, 24",0.0,0.0,0.0,-806.0,0.0,-806.0
2015.12.31 (당기말),,897514.0,4403893.0,143629177.0,-12526126.0,23797.0,136428255.0
