기업명,당기말 | 보유주식수(주),당기말 | 지분율(%),당기말 | 취득원가,당기말 | 장부가액 (시장가치),전기말 | 장부가액 (시장가치)
삼성SDI,13462673.0,19.6,1542857.0,1534745.0,1561670.0
삼성중공업,40675641.0,17.6,258299.0,441331.0,811479.0
삼성정밀화학(*1),0.0,,0.0,0.0,70795.0
호텔신라,2004717.0,5.1,13957.0,154965.0,183231.0
제일기획,14498725.0,12.6,223941.0,300124.0,249378.0
아이마켓코리아,647320.0,1.8,324.0,16377.0,18384.0
에이테크솔루션,1592000.0,15.9,26348.0,8469.0,7578.0
원익아이피에스,3610108.0,4.5,31625.0,40975.0,50361.0
케이티스카이라이프,240000.0,0.5,3344.0,4152.0,4404.0
Rambus,4788125.0,4.1,92682.0,65039.0,58368.0
Seagate Technology,12539490.0,4.2,218543.0,538765.0,916597.0
SunEdison Semiconductor Limited(*2),0.0,,0.0,0.0,49510.0
계,,,2411920.0,3104942.0,3981755.0
