구분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부가액,6295538.0,8459613.0,19045504.0,9290646.0,652958.0,43744259.0
취득원가,6295538.0,12555904.0,74041997.0,9290646.0,1522759.0,103706844.0
감가상각누계액  (손상차손누계액 포함),0.0,-4096291.0,-54996493.0,0.0,-869801.0,-59962585.0
일반취득 및 자본적지출,55638.0,3461007.0,11915003.0,-3613602.0,274445.0,12092491.0
감가상각,0.0,-678409.0,-9203967.0,0.0,-207372.0,-10089748.0
처분/폐기,-61559.0,-12943.0,-141097.0,0.0,-130197.0,-345796.0
손상,0.0,0.0,-44948.0,0.0,0.0,-44948.0
기타,-495.0,8839.0,8392.0,-219290.0,-5075.0,-207629.0
기말장부가액,6289122.0,11238107.0,21578887.0,5457754.0,584759.0,45148629.0
취득원가,6289122.0,15981133.0,83556501.0,5457754.0,1462477.0,112746987.0
감가상각누계액  (손상차손누계액 포함),0.0,-4743026.0,-61977614.0,0.0,-877718.0,-67598358.0
