지역,기업명,업종,지분율(%)(*)
유럽/CIS,Samsung Electronics Rus(SER),마케팅,100.0
유럽/CIS,Samsung Electronics Rus Company(SERC),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Ukraine(SEU),마케팅,100.0
유럽/CIS,Samsung Electronics Baltics(SEB),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Ukraine Company(SEUC),전자제품 판매,100.0
유럽/CIS,Samsung R&D Institute Rus(SRR),R&D,100.0
유럽/CIS,Samsung Electronics Central Eurasia(SECE),전자제품 판매,100.0
유럽/CIS,Samsung Electronics Rus Kaluga(SERK),TV 생산,100.0
유럽/CIS,Samsung Electronics(London) Limited(SEL),Holding Company,100.0
유럽/CIS,Samsung Denmark Research Center(SDRC),R&D,100.0
유럽/CIS,Samsung France Research Center(SFRC),R&D,100.0
유럽/CIS,Samsung Cambridge Solution Centre(SCSC),R&D,100.0
유럽/CIS,Samsung Electronics Switzerland GmbH(SESG),전자제품 판매,100.0
유럽/CIS,PrinterOn Europe,프린팅솔루션 판매,100.0
유럽/CIS,Samsung Electronics Caucasus(SECC),마케팅,100.0
유럽/CIS,Joyent(UK),클라우드 서비스,100.0
중동 및 아프리카,Samsung Electronics West Africa(SEWA),마케팅,100.0
중동 및 아프리카,Samsung Electronics East Africa(SEEA),마케팅,100.0
중동 및 아프리카,Samsung Gulf Electronics(SGE),전자제품 판매,100.0
중동 및 아프리카,Samsung Electronics Egypt(SEEG),전자제품 생산 및 판매,100.0
중동 및 아프리카,Samsung Electronics Israel(SEIL),마케팅,100.0
중동 및 아프리카,Samsung Electronics Tunisia(SETN),마케팅,100.0
중동 및 아프리카,Samsung Electronics Pakistan(SEPAK),마케팅,100.0
중동 및 아프리카,Samsung Electronics South Africa(SSA),전자제품 판매,100.0
중동 및 아프리카,Samsung Electronics Turkey(SETK),전자제품 판매,100.0
중동 및 아프리카,Samsung Semiconductor Israel R&D Center(SIRC),R&D,100.0
중동 및 아프리카,Samsung Electronics Levant(SELV),전자제품 판매,100.0
중동 및 아프리카,Samsung Electronics Maghreb Arab(SEMAG),전자제품 판매,100.0
중동 및 아프리카,Samsung Electronics South Africa Production(SSAP),TV/모니터 생산,100.0
