구분,기업명,채권 등,채무 등
종속기업,삼성디스플레이,33891.0,104432.0
종속기업,Samsung Electronics America(SEA),4002270.0,91491.0
종속기업,Samsung (China) Investment(SCIC),41588.0,982.0
종속기업,Samsung (China) Semiconductor(SCS),47117.0,280356.0
종속기업,Samsung Semiconductor(SSI),3759782.0,62708.0
종속기업,Samsung Electronics Vietnam(SEV),421096.0,240041.0
종속기업,Samsung Electronics Europe Holding(SEEH),1203.0,0.0
종속기업,Samsung Electronics Vietnam THAINGUYEN(SEVT),372639.0,240281.0
종속기업,Samsung Electronics Huizhou(SEHZ),180951.0,817281.0
종속기업,Samsung Austin Semiconductor(SAS),6284.0,370959.0
종속기업,Samsung Asia Private(SAPL),93915.0,10783.0
종속기업,Shanghai Samsung Semiconductor(SSS),1787117.0,1181.0
종속기업,Samsung India Electronics(SIEL),1274392.0,17460.0
종속기업,Samsung Electronica da Amazonia(SEDA),104956.0,4231.0
종속기업,Samsung Suzhou LCD(SSL),3579.0,0.0
