구 분,구 분_2,구 분_3,당기,전기
1분기,배당받을 주식,보통주,"121,840,851주",0.0
1분기,배당받을 주식,우선주,"17,069,534주",0.0
1분기,배당률(액면가 기준),,140%,0.0
1분기,배당금액,보통주,852886.0,0.0
1분기,배당금액,우선주,119487.0,0.0
1분기,배당금액,계,972373.0,0.0
2분기,배당받을 주식,보통주,"121,038,051주",
2분기,배당받을 주식,우선주,"16,868,834주",
2분기,배당률(액면가 기준),,140%,
2분기,배당금액,보통주,847266.0,123958.0
2분기,배당금액,우선주,118082.0,17581.0
2분기,배당금액,계,965348.0,141539.0
3분기,배당받을 주식,보통주,"120,316,189주",0.0
3분기,배당받을 주식,우선주,"16,691,095주",0.0
3분기,배당률(액면가 기준),,140%,0.0
3분기,배당금액,보통주,842213.0,0.0
3분기,배당금액,우선주,116838.0,0.0
3분기,배당금액,계,959051.0,0.0
