과 목,주 석,자본금,주식발행 초과금,이익잉여금,기타자본항목,총 계
2017.1.1 (전기초),,897514.0,4403893.0,140747574.0,-8502219.0,137546762.0
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,0.0,0.0,28800837.0,0.0,28800837.0
2. 매도가능금융자산평가손익,"9, 23",0.0,0.0,0.0,-30226.0,-30226.0
3. 순확정급여자산 재측정요소,"17, 23",0.0,0.0,0.0,349950.0,349950.0
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,22,0.0,0.0,-6747124.0,0.0,-6747124.0
2. 자기주식의 취득,"21, 23",0.0,0.0,0.0,-8350424.0,-8350424.0
3. 자기주식의 소각,"21, 23",0.0,0.0,-11872563.0,11872563.0,0.0
2017.12.31 (전기말),,897514.0,4403893.0,150928724.0,-4660356.0,151569775.0
2018.1.1 (당기초),,897514.0,4403893.0,150928724.0,-4660356.0,151569775.0
회계정책변경누적효과,,0.0,0.0,61021.0,-61021.0,0.0
수정후 기초자본,,897514.0,4403893.0,150989745.0,-4721377.0,151569775.0
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,0.0,0.0,32815127.0,0.0,32815127.0
2. 기타포괄손익-공정가치금융자산평가손익,"8, 23",0.0,0.0,-2697.0,-85643.0,-88340.0
3. 순확정급여자산 재측정요소,"17, 23",0.0,0.0,0.0,-289981.0,-289981.0
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,22,0.0,0.0,-10143345.0,0.0,-10143345.0
2. 자기주식의 취득,"21, 23",0.0,0.0,0.0,-875111.0,-875111.0
3. 자기주식의 소각,"21, 23",0.0,0.0,-7103298.0,7103298.0,0.0
2018.12.31 (당기말),,897514.0,4403893.0,166555532.0,1131186.0,172988125.0
