구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,164404.0,0.0,1445515.0,1660.0
종속기업,Samsung Electronics America(SEA),24012212.0,0.0,171693.0,0.0
종속기업,Samsung (China) Investment(SCIC),309349.0,0.0,6351.0,0.0
종속기업,Harman과 그 종속기업(*2),0.0,0.0,88905.0,0.0
종속기업,Samsung Electronics Vietnam(SEV),4428874.0,4334.0,11905994.0,123.0
종속기업,Samsung Electronics Vietnam THAINGUYEN(SEVT),6109227.0,3320.0,14412580.0,29.0
종속기업,Samsung (China) Semiconductor(SCS),567261.0,138973.0,4516994.0,33029.0
종속기업,Samsung Semiconductor(SSI),27853576.0,0.0,393190.0,0.0
종속기업,Samsung Electronics Europe Holding(SEEH),0.0,0.0,0.0,0.0
종속기업,Samsung Display Vietnam(SDV),1010749.0,0.0,0.0,0.0
종속기업,Samsung Asia Private(SAPL),1638884.0,0.0,32329.0,0.0
종속기업,Samsung Electronics Huizhou(SEHZ),1600674.0,87.0,7868307.0,291.0
종속기업,Samsung India Electronics(SIEL),4826458.0,0.0,815638.0,0.0
종속기업,Samsung Electronica da Amazonia(SEDA),1131969.0,0.0,4285.0,0.0
종속기업,Samsung Austin Semiconductor(SAS),4011.0,4103.0,3643739.0,0.0
종속기업,Shanghai Samsung Semiconductor(SSS),24032406.0,0.0,0.0,0.0
종속기업,Thai Samsung Electronics(TSE),1501161.0,0.0,1718099.0,0.0
종속기업,Samsung Electronics (UK)(SEUK),160475.0,0.0,83110.0,0.0
종속기업,Samsung Electronics GmbH(SEG),3226745.0,0.0,29055.0,0.0
종속기업,Samsung Electronics HCMC CE Complex(SEHC),644155.0,562.0,2536338.0,45.0
종속기업,Samsung Electronics Europe Logistics(SELS),2688399.0,0.0,12637.0,0.0
종속기업,Samsung Electronics Hungarian(SEH),356748.0,0.0,911.0,12.0
종속기업,Samsung Suzhou LCD(SSL),32526.0,0.0,0.0,0.0
종속기업,Samsung Electronics France(SEF),2275110.0,0.0,4374.0,0.0
종속기업,Samsung Electronics Benelux(SEBN),92798.0,0.0,1714.0,0.0
종속기업,기타,42757356.0,10490.0,20224600.0,48030.0
종속기업,종속기업 계,151425527.0,161869.0,69916358.0,83219.0
