기 업 명,당기말 | 보유주식수(주),당기말 | 지분율(%)(*),당기말 | 취득원가,당기말 | 장부금액 (시장가치),전기말 | 장부금액 (시장가치)
삼성중공업㈜,100693398.0,16.0,735488.0,732041.0,746138.0
㈜호텔신라,2004717.0,5.1,13957.0,182028.0,153361.0
㈜아이마켓코리아,647320.0,1.8,324.0,6732.0,4479.0
㈜에이테크솔루션,1592000.0,15.9,26348.0,11733.0,12418.0
㈜원익홀딩스,1759171.0,2.3,15410.0,9605.0,6175.0
㈜원익아이피에스,1850936.0,3.8,16214.0,66356.0,37204.0
㈜케이티스카이라이프,240000.0,0.5,3344.0,2093.0,2760.0
㈜동진쎄미켐,2467894.0,4.8,48277.0,41337.0,18040.0
솔브레인㈜,835110.0,4.8,55618.0,70400.0,39709.0
㈜용평리조트,400000.0,0.8,1869.0,2400.0,2436.0
계,,,916849.0,1124725.0,1022720.0
