구분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산,,금융자산,,금융자산
현금및현금성자산,2081917.0,(*1),2607957.0,(*1)
단기금융상품,26501392.0,(*1),34113871.0,(*1)
매출채권,26255438.0,(*1),24933267.0,(*1)
기타포괄손익-공정가치금융자산,1206080.0,1206080,1098565.0,1098565
당기손익-공정가치금융자산,3181.0,3181,7413.0,7413
기타,4307370.0,(*1),4630073.0,(*1)
소계,60355378.0,,67391146.0,
금융부채,,금융부채,,금융부채
매입채무,7547273.0,(*1),7315631.0,(*1)
단기차입금,10228216.0,(*1),10353873.0,(*1)
미지급금,9031752.0,(*1),8255775.0,(*1)
유동성장기부채,153942.0,(*1)(*2),5440.0,(*1)
사채,39520.0,52144,43516.0,57733
장기차입금,174651.0,(*2),0.0,-
장기미지급금,1305278.0,(*1),2231836.0,(*1)
기타,2458165.0,(*1),2355676.0,(*1)
소계,30938797.0,,30561747.0,
