구분,기업명(*1),채권 등,채무 등
종속기업,삼성디스플레이㈜,15338.0,182541.0
종속기업,"Samsung Electronics America, Inc.(SEA)",4932605.0,72147.0
종속기업,"Samsung (CHINA) Investment Co., Ltd.(SCIC)",36616.0,5215.0
종속기업,Harman과 그 종속기업(*2),5343.0,8493.0
종속기업,"Samsung Electronics Vietnam Co., Ltd.(SEV)",518366.0,1225669.0
종속기업,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd.(SEVT)",673277.0,2406151.0
종속기업,"Samsung (China) Semiconductor Co., Ltd.(SCS)",69891.0,331097.0
종속기업,"Samsung Semiconductor, Inc.(SSI)",3375191.0,81359.0
종속기업,Samsung Electronics Europe Holding Cooperatief U.A.(SEEH),517.0,0.0
종속기업,"Samsung Display Vietnam Co., Ltd.(SDV)",118248.0,134.0
종속기업,Samsung Asia Private Ltd.(SAPL),105781.0,13251.0
종속기업,"Samsung Electronics Huizhou Co., Ltd.(SEHZ)",92360.0,782167.0
종속기업,Samsung India Electronics Private Ltd.(SIEL),2026325.0,169499.0
종속기업,Samsung Electronica da Amazonia Ltda.(SEDA),427141.0,1398.0
종속기업,Samsung Austin Semiconductor LLC.(SAS),7130.0,259818.0
종속기업,"Shanghai Samsung Semiconductor Co., Ltd.(SSS)",3304263.0,63.0
종속기업,"Thai Samsung Electronics Co., Ltd.(TSE)",124502.0,171847.0
종속기업,Samsung Electronics (UK) Ltd.(SEUK),48993.0,20224.0
종속기업,Samsung Electronics GmbH(SEG),492312.0,2473.0
종속기업,"Samsung Electronics HCMC CE Complex Co., Ltd.(SEHC)",252661.0,235795.0
종속기업,Samsung Electronics Europe Logistics B.V.(SELS),697276.0,1567.0
종속기업,Samsung Electronics Hungarian Private Co. Ltd.(SEH),61756.0,30.0
종속기업,"Samsung Suzhou LCD Co., Ltd.(SSL)",4499.0,0.0
종속기업,Samsung Electronics France S.A.S(SEF),551773.0,333.0
종속기업,Samsung Electronics Benelux B.V.(SEBN),24733.0,2402.0
종속기업,기타,6573262.0,2243236.0
종속기업,종속기업 계(*3),24540159.0,8216909.0
