과 목,제 52 (당) 기,제 52 (당) 기_2,제 51 (전) 기,제 51 (전) 기_2
Ⅰ. 미처분이익잉여금,,8401233.0,,8138252.0
1. 전기이월이익잉여금,30.0,,30.0,
"2. 분기배당  주당배당금(률)  제52기 - 1,062원(1062%)  제51기 - 1,062원(1062%)",-7213815.0,,-7213815.0,
3. 당기순이익,15615018.0,,15353323.0,
4. 기타포괄손익-공정가치금융자산 처분,0.0,,-1286.0,
Ⅱ. 임의적립금 등의 이입액,,4723057.0,,0.0
1. 기업합리화적립금,4723057.0,,0.0,
Ⅲ. 이익잉여금처분액,,13124260.0,,8138222.0
1. 기업합리화적립금,0.0,,2500000.0,
"2. 배당금  주당배당금(률)  제52기 - 보통주: 1,932원(1932%)  우선주: 1,933원(1933%)  제51기 - 보통주: 354원(354%)  우선주: 355원(355%)",13124260.0,,2405428.0,
3. 연구및인력개발준비금,0.0,,3000000.0,
4. 시설적립금,0.0,,232794.0,
Ⅳ. 차기이월미처분이익잉여금,,30.0,,30.0
