과 목,주 석,제 53 (당) 기,제 53 (당) 기_2,제 52 (전) 기,제 52 (전) 기_2
Ⅰ. 영업활동 현금흐름,,,51250069.0,,37509025.0
1. 영업에서 창출된 현금흐름,,50357361.0,,39541654.0,
가. 당기순이익,,30970954.0,,15615018.0,
나. 조정,27.0,25168062.0,,24319842.0,
다. 영업활동으로 인한 자산부채의 변동,27.0,-5781655.0,,-393206.0,
2. 이자의 수취,,282918.0,,448323.0,
3. 이자의 지급,,-125036.0,,-148262.0,
4. 배당금 수입,,6560011.0,,129569.0,
5. 법인세 납부액,,-5825185.0,,-2462259.0,
Ⅱ. 투자활동 현금흐름,,,-24435207.0,,-31175575.0
1. 단기금융상품의 순감소(증가),,13600708.0,,-2099892.0,
2. 기타포괄손익-공정가치금융자산의 처분,,0.0,,503.0,
3. 기타포괄손익-공정가치금융자산의 취득,,-234975.0,,-204957.0,
4. 당기손익-공정가치금융자산의 처분,,912.0,,74.0,
"5. 종속기업, 관계기업 및 공동기업 투자의 처분",,605607.0,,22057.0,
"6. 종속기업, 관계기업 및 공동기업 투자의 취득",,-138858.0,,-163456.0,
7. 유형자산의 처분,,408560.0,,431142.0,
8. 유형자산의 취득,,-36021504.0,,-26962042.0,
9. 무형자산의 처분,,5809.0,,1082.0,
10. 무형자산의 취득,,-2459929.0,,-2239834.0,
11. 기타투자활동으로 인한 현금유출입액,,-201537.0,,39748.0,
Ⅲ. 재무활동 현금흐름,,,-23885054.0,,-7426376.0
1. 단기차입금의 순증가(감소),27.0,-3288858.0,,2326350.0,
2. 사채 및 장기차입금의 상환,27.0,-117963.0,,-134443.0,
3. 배당금의 지급,,-20478233.0,,-9618283.0,
Ⅳ. 외화환산으로 인한 현금의 변동,,,19.0,,54.0
Ⅴ. 현금및현금성자산의 증가(감소)(Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,2929827.0,,-1092872.0
Ⅵ. 기초의 현금및현금성자산,,,989045.0,,2081917.0
Ⅶ. 기말의 현금및현금성자산,,,3918872.0,,989045.0
