계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,-3420886.0,14261.0,-3406625.0,-940744.0,3922.0,-936822.0
"종속기업, 관계기업 및 공동기업 투자(*1)",-3994444.0,157076.0,-3837368.0,-909018.0,55853.0,-853165.0
감가상각누계액 등,-514103.0,-1942199.0,-2456302.0,-141379.0,-534104.0,-675483.0
미수수익,-112810.0,58703.0,-54107.0,-31023.0,16144.0,-14879.0
충당부채 및 미지급비용 등,9540744.0,1557561.0,11098305.0,2623704.0,428330.0,3052034.0
외화평가조정,-51955.0,46642.0,-5313.0,-14288.0,12827.0,-1461.0
자산손상,1744851.0,-648554.0,1096297.0,399268.0,-178352.0,220916.0
퇴직급여,-4223358.0,-1869997.0,-6093355.0,-1161424.0,-514249.0,-1675673.0
분할 시 투자주식 평가증(*2),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,1038962.0,2858629.0,3897591.0,115053.0,363392.0,478445.0
소 계,10593823.0,232122.0,10825945.0,-59851.0,-346237.0,-406088.0
2) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,282542.0,389511.0,672053.0,282542.0,332351.0,614893.0
3) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,-262753.0,137815.0,-124938.0,-72257.0,37899.0,-34358.0
순확정급여부채(자산) 재측정요소,3061640.0,708012.0,3769652.0,841951.0,194702.0,1036653.0
소 계,2798887.0,845827.0,3644714.0,769694.0,232601.0,1002295.0
이연법인세자산(부채) 계,,,,992385.0,218715.0,1211100.0
