0,1,2,3,4,5,6,7,8,9
구 분,내 역,내 역,내 역,내 역,내 역,내 역,내 역,내 역,내 역
전반감사계획 (감사착수단계),수행시기,2021.03.08 ~ 2021.09.30,2021.03.08 ~ 2021.09.30,2021.03.08 ~ 2021.09.30,2021.03.08 ~ 2021.09.30,2021.03.08 ~ 2021.09.30,89,일,일
전반감사계획 (감사착수단계),주요내용,"회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정","회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정","회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정","회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정","회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정","회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정","회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정","회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험평가 및 감사절차의 성격, 시기 및 범위 등을 결정"
현장감사 주요내용,수행시기,수행시기,수행시기,투입인원,투입인원,투입인원,투입인원,주요 감사업무 수행내용,주요 감사업무 수행내용
현장감사 주요내용,수행시기,수행시기,수행시기,상주,상주,비상주,비상주,주요 감사업무 수행내용,주요 감사업무 수행내용
현장감사 주요내용,2021.03.16 ~ 2022.01.07,150,일,12,명,20,명,시스템 및 자동 내부통제 감사,시스템 및 자동 내부통제 감사
현장감사 주요내용,2021.03.08 ~ 2021.12.31,98,일,51,명,16,명,조기입증감사(연중감사),조기입증감사(연중감사)
현장감사 주요내용,2022.01.03 ~ 2022.01.28,20,일,59,명,6,명,조회확인 등 조기입증감사 절차 업데이트,조회확인 등 조기입증감사 절차 업데이트
현장감사 주요내용,2022.02.03 ~ 2022.02.16,10,일,51,명,16,명,재무제표 검증 및 감사종결 절차 수행,재무제표 검증 및 감사종결 절차 수행
재고자산실사(입회),실사(입회)시기,2021.11.28 / 2021.11.30 / 2021.12.1,2021.11.28 / 2021.11.30 / 2021.12.1,2021.11.28 / 2021.11.30 / 2021.12.1,2021.11.28 / 2021.11.30 / 2021.12.1,2021.11.28 / 2021.11.30 / 2021.12.1,3,일,일
재고자산실사(입회),실사(입회)장소,"수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등"
재고자산실사(입회),실사(입회)대상,"원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등"
금융자산실사(입회),실사(입회)시기,2022.01.08 / 2022.01.10,2022.01.08 / 2022.01.10,2022.01.08 / 2022.01.10,2022.01.08 / 2022.01.10,2022.01.08 / 2022.01.10,2,일,일
금융자산실사(입회),실사(입회)장소,수원사업장 등,수원사업장 등,수원사업장 등,수원사업장 등,수원사업장 등,수원사업장 등,수원사업장 등,수원사업장 등
금융자산실사(입회),실사(입회)대상,"현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등"
외부조회,금융거래조회,O,O,채권채무조회,채권채무조회,채권채무조회,O,변호사조회,O
외부조회,기타조회,타처보관재고자산,타처보관재고자산,타처보관재고자산,타처보관재고자산,타처보관재고자산,타처보관재고자산,타처보관재고자산,타처보관재고자산
지배기구와의 커뮤니케이션,커뮤니케이션 횟수,4,4,회,회,회,회,회,회
지배기구와의 커뮤니케이션,수행시기,2021.04.27 / 2021.07.27 / 2021.10.26 / 2022.01.25,2021.04.27 / 2021.07.27 / 2021.10.26 / 2022.01.25,2021.04.27 / 2021.07.27 / 2021.10.26 / 2022.01.25,2021.04.27 / 2021.07.27 / 2021.10.26 / 2022.01.25,2021.04.27 / 2021.07.27 / 2021.10.26 / 2022.01.25,2021.04.27 / 2021.07.27 / 2021.10.26 / 2022.01.25,2021.04.27 / 2021.07.27 / 2021.10.26 / 2022.01.25,2021.04.27 / 2021.07.27 / 2021.10.26 / 2022.01.25
외부전문가 활용,감사 활용 내용,해당사항없음,해당사항없음,해당사항없음,해당사항없음,해당사항없음,해당사항없음,해당사항없음,해당사항없음
외부전문가 활용,수행시기,-,-,-,-,-,-,일,일
