과 목,주석,제 54 (당) 기,제 54 (당) 기_2,제 53 (전) 기,제 53 (전) 기_2
자 산,,,,,
Ⅰ. 유 동 자 산,,,59062658.0,,73553416.0
1. 현금및현금성자산,"4, 28",3921593.0,,3918872.0,
2. 단기금융상품,"4, 28",137.0,,15000576.0,
3. 매출채권,"4, 5, 7, 28",20503223.0,,33088247.0,
4. 미수금,"4, 7, 28",2925006.0,,1832488.0,
5. 선급비용,,1047900.0,,817689.0,
6. 재고자산,8,27990007.0,,15973053.0,
7. 기타유동자산,"4, 28",2674792.0,,2922491.0,
Ⅱ. 비 유 동 자 산,,,201021092.0,,177558768.0
1. 기타포괄손익-공정가치금융자산,"4, 6, 28",1364325.0,,1662532.0,
2. 당기손익-공정가치금융자산,"4, 6, 28",283.0,,2135.0,
"3. 종속기업, 관계기업 및 공동기업 투자",9,57397249.0,,56225599.0,
4. 유형자산,10,123266986.0,,103667025.0,
5. 무형자산,11,8561424.0,,8657456.0,
6. 순확정급여자산,14,4410223.0,,2324291.0,
7. 이연법인세자산,25,2142512.0,,1211100.0,
8. 기타비유동자산,"4, 7, 28",3878090.0,,3808630.0,
자 산 총 계,,,260083750.0,,251112184.0
부 채,,,,,
Ⅰ. 유 동 부 채,,,46086047.0,,53067303.0
1. 매입채무,"4, 28",8729315.0,,11557441.0,
2. 단기차입금,"4, 5, 12, 28",2381512.0,,9204268.0,
3. 미지급금,"4, 28",18554543.0,,13206753.0,
4. 선수금,17,320689.0,,474731.0,
5. 예수금,"4, 28",523354.0,,624585.0,
6. 미지급비용,"4, 17, 28",8359296.0,,8275410.0,
7. 당기법인세부채,,2533481.0,,5599896.0,
8. 유동성장기부채,"4, 12, 13, 28",135753.0,,139328.0,
9. 충당부채,15,4059491.0,,3643853.0,
10. 기타유동부채,17,488613.0,,341038.0,
Ⅱ. 비 유 동 부 채,,,4581512.0,,4851149.0
1. 사채,"4, 13, 28",24912.0,,29048.0,
2. 장기차입금,"4, 12, 28",654979.0,,431915.0,
3. 장기미지급금,"4, 28",2439232.0,,2653715.0,
4. 장기충당부채,15,1423165.0,,1659774.0,
5. 기타비유동부채,,39224.0,,76697.0,
부 채 총 계,,,50667559.0,,57918452.0
자 본,,,,,
Ⅰ. 자본금,18,,897514.0,,897514.0
1. 우선주자본금,,119467.0,,119467.0,
2. 보통주자본금,,778047.0,,778047.0,
Ⅱ. 주식발행초과금,,,4403893.0,,4403893.0
Ⅲ. 이익잉여금,19,,204388016.0,,188774335.0
Ⅳ. 기타자본항목,20,,-273232.0,,-882010.0
자 본 총 계,,,209416191.0,,193193732.0
부 채 와 자 본 총 계,,,260083750.0,,251112184.0
