기업명(*),전기 | 자산,전기 | 부채,전기 | 매출액,전기 | 당기순이익
삼성디스플레이㈜,54967156.0,9081737.0,28755975.0,2770060.0
"Samsung Electronics America, Inc. (SEA)",42982054.0,19246751.0,42325524.0,823914.0
"Samsung (CHINA) Investment Co., Ltd. (SCIC)",13599093.0,9685278.0,2615685.0,451062.0
"Samsung (China) Semiconductor Co., Ltd. (SCS)",19049536.0,5168738.0,7341018.0,1708832.0
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),14651496.0,8998502.0,0.0,24527.0
Samsung Asia Pte. Ltd. (SAPL),14683789.0,58381.0,0.0,4668478.0
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",7765126.0,5799690.0,31326186.0,325397.0
Samsung Eletronica da Amazonia Ltda. (SEDA),4589505.0,1671097.0,6020523.0,490202.0
Samsung India Electronics Private Ltd. (SIEL),7765019.0,3236745.0,12222643.0,522672.0
"Thai Samsung Electronics Co., Ltd. (TSE)",3018358.0,474223.0,4443031.0,142191.0
Samsung Electronics (UK) Ltd. (SEUK),2925062.0,1992367.0,5621922.0,241403.0
Samsung Electronics GmbH (SEG),2289391.0,2228650.0,6385080.0,2158.0
"Samsung Electronics Hungarian Private Co., Ltd. (SEH)",2504075.0,641004.0,4357137.0,157616.0
Samsung Electronics Benelux B.V. (SEBN),2612357.0,766034.0,2569603.0,284816.0
Samsung Electronics Europe Logistics B.V. (SELS),2305275.0,2144805.0,14700517.0,13943.0
