구 분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,7800435.0,19087134.0,43749609.0,13994259.0,1535487.0,86166924.0
- 취득원가,7801259.0,28992675.0,146778918.0,13994259.0,3535985.0,201103096.0
- 감가상각누계액(손상 포함),-824.0,-9905541.0,-103029309.0,0.0,-2000498.0,-114936172.0
일반취득 및 자본적지출(*),5295.0,4385819.0,31501402.0,1339173.0,607076.0,37838765.0
감가상각,-406.0,-1614006.0,-18016803.0,0.0,-532894.0,-20164109.0
처분ㆍ폐기,-24319.0,-5104.0,-108737.0,0.0,-5402.0,-143562.0
기타,-11.0,-12027.0,9842.0,-25930.0,-2867.0,-30993.0
기말장부금액,7780994.0,21841816.0,57135313.0,15307502.0,1601400.0,103667025.0
- 취득원가,7782125.0,33244532.0,175487461.0,15307502.0,4022759.0,235844379.0
- 감가상각누계액(손상 포함),-1131.0,-11402716.0,-118352148.0,0.0,-2421359.0,-132177354.0
