기업명(*),당기 | 자산,당기 | 부채,당기 | 매출액,당기 | 당기순이익
삼성디스플레이㈜,65328568.0,7266213.0,27083336.0,8268314.0
"Samsung Electronics America, Inc. (SEA)",41926899.0,15322780.0,39551809.0,477338.0
Samsung Asia Pte. Ltd. (SAPL),22234942.0,282614.0,0.0,14140195.0
"Samsung (China) Semiconductor Co., Ltd. (SCS)",15808283.0,870453.0,8693788.0,877892.0
"Samsung (CHINA) Investment Co., Ltd. (SCIC)",10222557.0,8797991.0,3148858.0,189887.0
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),9660481.0,4585806.0,0.0,103387.0
Samsung India Electronics Private Ltd. (SIEL),7738259.0,3373730.0,15216331.0,1153256.0
Samsung Eletronica da Amazonia Ltda. (SEDA),5542627.0,1587911.0,7222304.0,333812.0
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",5262086.0,4552030.0,15649307.0,244210.0
"Thai Samsung Electronics Co., Ltd. (TSE)",3039379.0,640512.0,4213492.0,150510.0
Samsung Electronics (UK) Ltd. (SEUK),2902722.0,1976067.0,5859133.0,185113.0
세메스㈜,2187919.0,659607.0,2502143.0,58754.0
Samsung Electronics Mexico S.A. De C.V. (SEM),2153032.0,1038115.0,3638080.0,148873.0
"Samsung Electronics Taiwan Co., Ltd. (SET)",1797627.0,1139056.0,4108479.0,56467.0
Samsung Electronics Benelux B.V. (SEBN),1794552.0,639120.0,2833717.0,140313.0
