구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,74259.0,196686.0
종속기업,"Samsung Electronics America, Inc. (SEA)",3841560.0,1119907.0
종속기업,Samsung Asia Pte. Ltd. (SAPL),2091.0,1147.0
종속기업,Harman과 그 종속기업(*4),5179.0,9659.0
종속기업,Samsung Austin Semiconductor LLC. (SAS),9575.0,303203.0
종속기업,"Samsung (China) Semiconductor Co., Ltd. (SCS)",68251.0,687410.0
종속기업,"Samsung Semiconductor, Inc. (SSI)",5271414.0,209789.0
종속기업,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)",925410.0,2324691.0
종속기업,"Samsung (CHINA) Investment Co., Ltd. (SCIC)",181785.0,201966.0
종속기업,Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),2760.0,0.0
종속기업,Samsung India Electronics Private Ltd. (SIEL),922630.0,297628.0
종속기업,"Samsung Display Vietnam Co., Ltd. (SDV)",90305.0,46.0
종속기업,"Samsung Electronics Vietnam Co., Ltd. (SEV)",502410.0,1377493.0
종속기업,Samsung Eletronica da Amazonia Ltda. (SEDA),256936.0,1226.0
종속기업,"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",3906968.0,281.0
종속기업,"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)",148857.0,367007.0
종속기업,"Thai Samsung Electronics Co., Ltd. (TSE)",280682.0,267659.0
종속기업,Samsung Electronics (UK) Ltd. (SEUK),64642.0,40118.0
종속기업,세메스㈜,68340.0,917707.0
종속기업,Samsung Electronics Mexico S.A. De C.V. (SEM),252813.0,2021.0
종속기업,Samsung Electronics GmbH (SEG),72258.0,4448.0
종속기업,"Samsung International, Inc. (SII)",129178.0,54694.0
종속기업,"Samsung Electronics Taiwan Co., Ltd. (SET)",362737.0,87718.0
종속기업,Samsung Electronics Benelux B.V. (SEBN),52172.0,6266.0
종속기업,Samsung Electronics Europe Logistics B.V. (SELS),413581.0,415.0
종속기업,기타,6556255.0,2607878.0
종속기업,계,24463048.0,11087063.0
