구 분,전기 | 삼성전기㈜,전기 | 삼성에스디에스㈜,전기 | 삼성바이오로직스㈜,전기 | 삼성SDI㈜,전기 | ㈜제일기획
요약 재무상태표:,,,,,
유동자산,5208418.0,8160300.0,5521988.0,9187029.0,2372420.0
비유동자산,6449453.0,4160724.0,10524209.0,24851831.0,517085.0
유동부채,2900460.0,2391861.0,4157861.0,8518933.0,1375034.0
비유동부채,727087.0,953592.0,2057844.0,5612677.0,216707.0
요약 포괄손익계산서:,,,,,
매출,8892412.0,13276844.0,3694589.0,21436788.0,4138275.0
계속영업손익(*),449857.0,693422.0,857691.0,1921820.0,187302.0
세후중단영업손익(*),-26900.0,0.0,0.0,87387.0,0.0
기타포괄손익(*),45053.0,-11085.0,-11673.0,85394.0,3685.0
총포괄손익(*),468010.0,682337.0,846018.0,2094601.0,190987.0
