계 정 과 목,당기 | 기초잔액,당기 | 증감액,당기 | 기말잔액,전기 | 기초잔액,전기 | 증감액,전기 | 기말잔액
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,-898687.0,1998.0,-896689.0,-898505.0,-182.0,-898687.0
"종속기업, 관계기업 및 공동기업 투자(*)",-228304.0,6902.0,-221402.0,-819038.0,590734.0,-228304.0
감가상각누계액 등,-1408682.0,324105.0,-1084577.0,-1634038.0,225356.0,-1408682.0
미수수익,-3564.0,-28996.0,-32560.0,-2487.0,-1077.0,-3564.0
충당부채 및 미지급비용 등,5433027.0,153938.0,5586965.0,3613572.0,1819455.0,5433027.0
외화평가조정,124852.0,41321.0,166173.0,147194.0,-22342.0,124852.0
자산손상,181641.0,3687.0,185328.0,184282.0,-2641.0,181641.0
퇴직급여,-1879227.0,182161.0,-1697066.0,-1427630.0,-451597.0,-1879227.0
기타,539804.0,-138022.0,401782.0,624180.0,-84376.0,539804.0
소 계,1860860.0,547094.0,2407954.0,-212470.0,2073330.0,1860860.0
2) 이월결손금공제로 인한 이연법인세:,,,,,,
이월결손금이월액,928705.0,-928705.0,0.0,0.0,928705.0,928705.0
3) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,6339250.0,4658032.0,10997282.0,1625525.0,4713725.0,6339250.0
4) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,-88295.0,-86785.0,-175080.0,43991.0,-132286.0,-88295.0
순확정급여부채(자산) 재측정요소,890838.0,212438.0,1103276.0,685466.0,205372.0,890838.0
소 계,802543.0,125653.0,928196.0,729457.0,73086.0,802543.0
이연법인세자산(부채) 계,9931358.0,4402074.0,14333432.0,2142512.0,7788846.0,9931358.0
