과 목,주석,제 46 (당) 기,제 46 (당) 기_2,제 45 (전) 기,제 45 (전) 기_2
자 산,,,,,
Ⅰ. 유 동 자 산,,,62054773.0,,60603694.0
1. 현금및현금성자산,"4, 6, 7",1643318.0,,2030307.0,
2. 단기금융상품,"5, 6, 7",26454093.0,,27463345.0,
3. 단기매도가능금융자산,"6, 9",2137533.0,,1488527.0,
4. 매출채권,"6, 7, 10",18940786.0,,17748978.0,
5. 미수금,10,3218973.0,,2734572.0,
6. 선급금,,977114.0,,1007685.0,
7. 선급비용,,1846360.0,,1373140.0,
8. 재고자산,11,5553834.0,,5880463.0,
9. 기타유동자산,,821079.0,,876677.0,
10. 매각예정분류자산,"12, 34",461683.0,,0.0,
Ⅱ. 비 유 동 자 산,,,102005810.0,,94222263.0
1. 장기매도가능금융자산,"6, 9",7106234.0,,3956952.0,
"2. 종속기업, 관계기업 및 공동기업 투자",12,41857431.0,,42258049.0,
3. 유형자산,13,43744259.0,,41439372.0,
4. 무형자산,14,3051564.0,,2495302.0,
5. 장기선급비용,,4415935.0,,2951813.0,
6. 순확정급여자산,17,135951.0,,0.0,
7. 기타비유동자산,,1694436.0,,1120775.0,
자 산 총 계,,,164060583.0,,154825957.0
부 채,,,,,
Ⅰ. 유 동 부 채,,,28208638.0,,27597944.0
1. 매입채무,6,4677527.0,,5742116.0,
2. 단기차입금,"6, 8, 15",2928182.0,,2811565.0,
3. 미지급금,6,6460166.0,,5404573.0,
4. 선수금,,139803.0,,141582.0,
5. 예수금,,596164.0,,514235.0,
6. 미지급비용,,7413148.0,,5952745.0,
7. 미지급법인세,,1707176.0,,2207118.0,
8. 유동성사채,"6, 16",5304.0,,5083.0,
9. 충당부채,18,4246054.0,,4805193.0,
10. 기타유동부채,,14855.0,,13734.0,
11. 매각예정분류부채,34,20259.0,,0.0,
Ⅱ. 비 유 동 부 채,,,3174870.0,,4857246.0
1. 사채,"6, 16",63648.0,,66079.0,
2. 장기미지급금,6,2305055.0,,769002.0,
3. 순확정급여부채,17,0.0,,1500222.0,
4. 이연법인세부채,29,364366.0,,1954171.0,
5. 장기충당부채,18,437974.0,,415718.0,
6. 기타비유동부채,,3827.0,,152054.0,
부 채 총 계,,,31383508.0,,32455190.0
자 본,,,,,
Ⅰ. 자본금,20,,897514.0,,897514.0
1. 우선주자본금,,119467.0,,119467.0,
2. 보통주자본금,,778047.0,,778047.0,
Ⅱ. 주식발행초과금,,,4403893.0,,4403893.0
Ⅲ. 이익잉여금,21,,134464189.0,,122029419.0
Ⅳ. 기타자본항목,23,,-7113271.0,,-4960059.0
Ⅴ. 매각예정분류기타자본항목,34,,24750.0,,0.0
자 본 총 계,,,132677075.0,,122370767.0
부채와자본총계,,,164060583.0,,154825957.0
