기 업 명,당기말 | 보유주식수(주),당기말 | 지분율(%),당기말 | 취득원가,당기말 | 장부가액 (시장가치),전기말 | 장부가액 (시장가치)
삼성SDI,13462673.0,19.6,1542857.0,1561670.0,0.0
삼성중공업,40675641.0,17.6,258299.0,811479.0,1547708.0
삼성정밀화학,2164970.0,8.4,45678.0,70795.0,96449.0
호텔신라,2004717.0,5.1,13957.0,183231.0,133314.0
제일기획(*),14498725.0,12.6,223941.0,249378.0,82465.0
아이마켓코리아,647320.0,1.8,324.0,18384.0,16668.0
에이테크솔루션,1592000.0,15.9,26348.0,7578.0,9568.0
원익아이피에스,3610108.0,4.5,31625.0,50361.0,30975.0
케이티스카이라이프,240000.0,0.5,3344.0,4404.0,7092.0
Rambus,4788125.0,4.2,92682.0,58368.0,47851.0
Seagate Technology,12539490.0,3.8,218544.0,916597.0,743161.0
SunEdison Semiconductor Limited,2425578.0,5.8,37553.0,49510.0,0.0
계,,,2495152.0,3981755.0,2715251.0
