구 분,토지,건물및구축물,기계장치,건설중인자산,기타,합 계
기초장부가액,5701112.0,6335305.0,23949077.0,3243353.0,580088.0,39808935.0
취득원가,5701112.0,9481739.0,71241948.0,3243353.0,1570330.0,91238482.0
감가상각누계액  (손상차손누계액 포함),0.0,-3146434.0,-47292871.0,0.0,-990242.0,-51429547.0
일반취득 및 자본적지출,252673.0,2478736.0,5550275.0,2151044.0,207063.0,10639791.0
감가상각,0.0,-478091.0,-8041473.0,0.0,-179299.0,-8698863.0
처분/폐기,-7489.0,-14505.0,-132672.0,0.0,-5463.0,-160129.0
손상,0.0,0.0,-430.0,0.0,-18.0,-448.0
기타,0.0,-118.0,-3412.0,-146027.0,-357.0,-149914.0
기말장부가액,5946296.0,8321327.0,21321365.0,5248370.0,602014.0,41439372.0
취득원가,5946296.0,11919933.0,74175971.0,5248370.0,1659337.0,98949907.0
감가상각누계액  (손상차손누계액 포함),0.0,-3598606.0,-52854606.0,0.0,-1057323.0,-57510535.0
