해외종속기업,보증처,보증기간,실차입금,지급보증금액
Samsung Electronics America(SEA),SMBC 외,2017.4.10,1099200.0,2665560.0
Samsung Japan(SJC),Mizuho Bank 외,2015.12.16,232901.0,979824.0
Samsung Electronics Mexico(SEM),Santander 외,2015.12.16,382829.0,743059.0
Samsung Electronics Digital Appliance Mexico(SEDAM),Citibank 외,2015.12.16,128306.0,484747.0
Samsung Electronics Turkey(SETK),BTMU 외,2015.12.16,94396.0,461664.0
Samsung Electronics South Africa(SSA),Citibank 외,2015.12.16,177076.0,368232.0
Samsung Electronics Peru(SEPR),BBVA 외,2015.12.16,68940.0,197856.0
Samsung Electronics Chile(SECH),Citibank 외,2015.12.16,59722.0,195658.0
Samsung Electronica Colombia(SAMCOL),Citibank 외,2015.12.16,74232.0,138499.0
Samsung Electronics Morocco(SEMRC),SocGen 외,2015.12.16,6402.0,120912.0
Samsung R&D Institute Japan(SRJ),SMBC,2016.2.28,23004.0,23004.0
Samsung Electronics South Africa Production(SSAP),SCB,2015.11.8,8551.0,21984.0
Samsung Electronics Philippines(SEPCO),BOA,2015.11.8,10309.0,10309.0
기타,,,0.0,3965497.0
계,,,2365868.0,10376805.0
