구분,기업명,채권 등,채무 등
종속기업,Tianjin Samsung Telecom Technology(TSTC),135261.0,362123.0
종속기업,Samsung Electronics Slovakia(SESK),33666.0,14.0
종속기업,Samsung Suzhou LCD(SSL),2097.0,0.0
종속기업,Thai Samsung Electronics(TSE),113326.0,101890.0
종속기업,Samsung Electronics Europe Logistics(SELS),236265.0,176.0
종속기업,Samsung Electronics Taiwan(SET),215328.0,35799.0
종속기업,Samsung Electronics Hungarian(SEH),28830.0,22.0
종속기업,Samsung Electronics (UK)(SEUK),506524.0,30296.0
종속기업,Samsung Electronics Benelux(SEBN),47032.0,657.0
종속기업,Samsung Electronics GmbH(SEG),122230.0,8119.0
종속기업,기타,6186880.0,2031464.0
종속기업,종속기업 계(*1),19171662.0,4953743.0
관계기업,삼성에스디에스,2479.0,319291.0
관계기업,삼성전기,1412.0,145922.0
관계기업,삼성테크윈,59.0,13260.0
관계기업,삼성카드,2687.0,783887.0
관계기업,기타,41850.0,50117.0
관계기업,관계기업 계,48487.0,1312477.0
공동기업,Siltronic Samsung Wafer,19143.0,11445.0
공동기업,기타,184.0,812.0
공동기업,공동기업 계,19327.0,12257.0
그 밖의 특수관계자,제일모직(*2),164962.0,201693.0
그 밖의 특수관계자,삼성SDI,3674.0,56071.0
그 밖의 특수관계자,기타,14139.0,25659.0
그 밖의 특수관계자,그 밖의 특수관계자 계,182775.0,283423.0
