기업명,자산,부채,매출액,당기순이익(손실)
삼성디스플레이,39225460.0,6586259.0,26397111.0,1673165.0
Samsung Electronics America(SEA),13937766.0,7181661.0,34448473.0,105258.0
Samsung (China) Investment(SCIC),12748395.0,11040055.0,11461304.0,-77629.0
Samsung (China) Semiconductor(SCS),9742388.0,5537446.0,2610462.0,171644.0
Samsung Electronics Europe Holding(SEEH),6989207.0,5223523.0,0.0,-31925.0
Samsung Electronics Huizhou(SEHZ),6192974.0,1738095.0,17949623.0,722700.0
Samsung Asia Private(SAPL),4227798.0,504256.0,1392926.0,957734.0
Shanghai Samsung Semiconductor(SSS),3792437.0,3207942.0,14372358.0,141232.0
Samsung India Electronics(SIEL),3723127.0,2204333.0,8008884.0,326462.0
Samsung Electronica da Amazonia(SEDA),3114334.0,1021869.0,5634385.0,322939.0
Samsung Suzhou LCD(SSL),2784122.0,1634304.0,1024881.0,76099.0
Tianjin Samsung Telecom Technology(TSTC),2075123.0,778133.0,6963943.0,146972.0
Samsung Electronics Europe Logistics(SELS),1894614.0,1793917.0,12943676.0,-7745.0
Thai Samsung Electronics(TSE),1889410.0,416382.0,3949756.0,179527.0
Samsung Electronics Slovakia(SESK),1888341.0,373886.0,3480848.0,107968.0
