해외종속기업,보증처,보증기간,금액 | 실차입금,금액 | 지급보증금액
Samsung Electronics America(SEA),SMBC 외,2017-04-10,1172000.0,2842100.0
Samsung Electronics Turkey(SETK),BTMU 외,2016-12-16,157781.0,691480.0
Samsung Electronics South Africa(SSA),Citibank 외,2016-12-16,147673.0,392620.0
Samsung Electronics Poland Manufacturing(SEPM),HSBC,2016-06-13,135358.0,137124.0
Samsung Electronics Digital Appliance Mexico(SEDAM),Citibank 외,2016-12-16,129398.0,516852.0
Samsung Japan(SJC),Mizuho Bank 외,2016-12-16,126173.0,1039564.0
Samsung Electronica Colombia(SAMCOL),Citibank 외,2016-12-16,77742.0,147672.0
Samsung Electronics Peru(SEPR),BBVA 외,2016-12-16,68015.0,210960.0
Simpress,BNP,2016-06-15,42609.0,70320.0
Samsung R&D Institute Japan(SRJ),SMBC,2016-02-28,24300.0,24612.0
Samsung Electronics South Africa Production(SSAP),SCB,2016-11-08,16721.0,35160.0
Samsung Electronics Central Eurasia(SECE),Citibank 외,2016-03-04,1383.0,178144.0
기타,,,0.0,4828640.0
합계,,,2099153.0,11115248.0
