계 정 과 목,누적일시적차이 | 기초잔액,누적일시적차이 | 증감액,누적일시적차이 | 기말잔액,이연법인세자산(부채) | 기초 이연법인세 자산(부채),이연법인세자산(부채) | 증감액,이연법인세자산(부채) | 기말 이연법인세 자산(부채)
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,-14368.0,7000.0,-7368.0,-3477.0,1694.0,-1783.0
토지재평가,-3475692.0,19734.0,-3455958.0,-841117.0,4775.0,-836342.0
"종속기업, 관계기업 및 공동기업 투자",-3133334.0,81894.0,-3051440.0,-624408.0,32695.0,-591713.0
감가상각누계액 등,68173.0,-19911.0,48262.0,16498.0,-4819.0,11679.0
미수수익,-409422.0,166388.0,-243034.0,-99080.0,40266.0,-58814.0
충당부채 및 미지급비용 등,7715903.0,541450.0,8257353.0,1867248.0,131031.0,1998279.0
외화평가조정,94774.0,43493.0,138267.0,22935.0,10526.0,33461.0
자산손상,330477.0,71767.0,402244.0,79975.0,17368.0,97343.0
퇴직급여,-3016051.0,711206.0,-2304845.0,-729884.0,172112.0,-557772.0
분할시투자주식평가증(*),10586822.0,0.0,10586822.0,0.0,0.0,0.0
기타,-2253598.0,3807057.0,1553459.0,-473239.0,916896.0,443657.0
소 계,6493684.0,5430078.0,11923762.0,-784549.0,1322544.0,537995.0
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,333709.0,-263346.0,70363.0,286393.0,-220393.0,66000.0
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,-1645871.0,826311.0,-819560.0,-398301.0,199967.0,-198334.0
보험수리적평가,2198723.0,-296897.0,1901826.0,532091.0,-71849.0,460242.0
소 계,552852.0,529414.0,1082266.0,133790.0,128118.0,261908.0
,,,,,,865903.0
