구 분,당기,전기
1. 매출채권의 증가,-1211194.0,-1348246.0
2. 미수금의 (증가)감소,-246935.0,513161.0
3. 선급금의 (증가)감소,-128192.0,30300.0
4. 장단기선급비용의 감소(증가),437406.0,-1937426.0
5. 재고자산의 증가,-1314650.0,-125693.0
6. 매입채무의 감소,-775150.0,-1039814.0
7. 장단기미지급금의 증가,155782.0,1451830.0
8. 선수금의 증가(감소),21167.0,-1758.0
9. 예수금의 (감소)증가,-256963.0,84534.0
10. 미지급비용의 (감소)증가,-1219506.0,1614044.0
11. 충당부채의 감소,-121675.0,-674588.0
12. 퇴직금의 지급,-590134.0,-332498.0
13. 사외적립자산의 감소(증가),98080.0,-2975072.0
14. 기타,-416998.0,109322.0
계,-5568962.0,-4631904.0
