지역,기업명,업종,지분율(%)(*)
미주,Samsung Electronics America(SEA),전자제품 판매,100.0
미주,NexusDX(Nexus),의료기기,100.0
미주,Samsung Receivables(SRC),채권관리,100.0
미주,NeuroLogica,의료기기,100.0
미주,Samsung Semiconductor(SSI),반도체/디스플레이 판매,100.0
미주,Samsung Electronics Canada(SECA),전자제품 판매,100.0
미주,Samsung Research America(SRA),R&D,100.0
미주,Grandis,R&D,100.0
미주,Samsung Mexicana(SAMEX),전자제품 생산,100.0
미주,Samsung International(SII),TV/모니터 생산,100.0
미주,Samsung Austin Semiconductor(SAS),반도체 생산,100.0
미주,Samsung Electronics Mexico(SEM),전자제품 판매,99.9
미주,SEMES America(SEMESA),반도체 장비,100.0
미주,Samsung Electronics Digital Appliance Mexico(SEDAM),전자제품 생산,99.9
미주,Samsung Electronics Latinoamerica Miami(SEMI),전자제품 판매,100.0
미주,Samsung Electronics Latinoamerica(SELA),전자제품 판매,100.0
미주,Samsung Electronics Venezuela(SEVEN),마케팅 및 서비스,100.0
미주,Samsung Electronica Colombia(SAMCOL),전자제품 판매,100.0
미주,Samsung Electronics Panama(SEPA),컨설팅,100.0
미주,Samsung Electronica da Amazonia(SEDA),전자제품 생산 및 판매,100.0
미주,Samsung Electronics Argentina(SEASA),마케팅 및 서비스,100.0
미주,Samsung Electronics Chile(SECH),전자제품 판매,100.0
미주,Samsung Electronics Peru(SEPR),전자제품 판매,100.0
미주,RT SV CO-INVEST(RT-SV),벤처기업 투자,99.9
미주,Quietside,에어컨공조 판매,100.0
미주,SmartThings,스마트홈기기 판매,100.0
미주,PrinterOn,프린팅솔루션 판매,100.0
미주,PrinterOn America,프린팅솔루션 판매,100.0
미주,Simpress,프린팅솔루션 판매,100.0
미주,Samsung Pay(구 LoopPay),모바일 결제 개발 및 서비스,100.0
미주,YESCO Electronics,LED 디스플레이 제조 및 판매,100.0
미주,Beijing Integrated Circuit Industry International Fund (Beijing Fund),벤처기업 투자,99.0
미주,Stellus Technologies,서버용 반도체 스토리지 시스템 제조 및 판매,100.0
