기업명,당기말 | 보유주식수(주),당기말 | 지분율(%),당기말 | 취득원가,당기말 | 장부가액 (시장가치),전기말 | 장부가액 (시장가치)
삼성SDI(*1),0.0,,0.0,0.0,1534745.0
삼성중공업,65930982.0,16.9,473727.0,609862.0,441331.0
호텔신라,2004717.0,5.1,13957.0,96527.0,154965.0
제일기획(*1),0.0,,0.0,0.0,300124.0
아이마켓코리아,647320.0,1.8,324.0,6732.0,16377.0
에이테크솔루션,1592000.0,15.9,26348.0,16636.0,8469.0
원익홀딩스 (구 원익아이피에스)(*2),1759171.0,2.3,15410.0,11857.0,40975.0
원익아이피에스(*2),1850936.0,4.5,16214.0,48495.0,40975.0
케이티스카이라이프,240000.0,0.5,3344.0,4152.0,4152.0
용평리조트(*3),400000.0,0.8,1869.0,3432.0,0.0
Rambus(*4),0.0,,0.0,0.0,65039.0
Seagate Technology(*4),0.0,,0.0,0.0,538765.0
계,,,551193.0,797693.0,3104942.0
