구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스,31255.0,0.0,1418211.0,156703.0
관계기업 및 공동기업,삼성전기,21706.0,0.0,1114865.0,2.0
관계기업 및 공동기업,기타,244213.0,3526.0,364152.0,28634.0
관계기업 및 공동기업,관계기업 및 공동기업 계,297174.0,3526.0,2897228.0,185339.0
그 밖의 특수관계자,삼성물산(*1),8950.0,0.0,99259.0,1323944.0
그 밖의 특수관계자,삼성SDI,43366.0,20.0,482927.0,8948.0
그 밖의 특수관계자,기타,89260.0,0.0,286702.0,66704.0
그 밖의 특수관계자,그 밖의 특수관계자 계,141576.0,20.0,868888.0,1399596.0
기타(*2),삼성엔지니어링,6084.0,0.0,15882.0,620044.0
기타(*2),에스원,30451.0,0.0,223861.0,24776.0
기타(*2),기타,66032.0,88.0,695747.0,112883.0
기타(*2),기타 계,102567.0,88.0,935490.0,757703.0
