기업명,당기말 | 보유주식수(주),당기말 | 지분율(%)(*),당기말 | 취득원가,당기말 | 장부가액 (시장가치),전기말 | 장부가액 (시장가치)
삼성중공업,65930982.0,16.9,473727.0,483275.0,609862.0
호텔신라,2004717.0,5.1,13957.0,170200.0,96527.0
아이마켓코리아,647320.0,1.8,324.0,5832.0,6732.0
에이테크솔루션,1592000.0,15.9,26348.0,19423.0,16636.0
원익홀딩스 (구. 원익아이피에스),1759171.0,2.3,15410.0,13880.0,11857.0
원익아이피에스,1850936.0,4.5,16214.0,61821.0,48495.0
케이티스카이라이프,240000.0,0.5,3344.0,3228.0,4152.0
동진쎄미캠,2467894.0,4.8,48277.0,54540.0,0.0
솔브레인,835110.0,4.8,55618.0,56370.0,0.0
용평리조트,400000.0,0.8,1869.0,4180.0,3432.0
계,,,655088.0,872749.0,797693.0
