기업명(*),자산,부채,매출액,당기순이익(손실)
삼성디스플레이,43305405.0,8361256.0,24658814.0,1498628.0
Samsung Electronics America(SEA),21810492.0,9496649.0,34521654.0,246141.0
Samsung (China) Investment(SCIC),13632938.0,11672755.0,8792750.0,298373.0
Samsung (China) Semiconductor(SCS),9749448.0,4564793.0,4152137.0,1113218.0
Samsung Electronics Vietnam(SEV),9134023.0,1258948.0,19426334.0,2046280.0
Samsung Electronics Europe Holding(SEEH),8643308.0,6661092.0,0.0,350974.0
Samsung Semiconductor(SSI),7804698.0,3746687.0,19911135.0,30247.0
Samsung Electronics Vietnam THAINGUYEN(SEVT),7646828.0,2179023.0,23563736.0,2641418.0
Samsung Electronics Huizhou(SEHZ),6174579.0,1106633.0,12971475.0,764426.0
Shanghai Samsung Semiconductor(SSS),5862409.0,5166385.0,20983314.0,181041.0
Samsung Asia Private(SAPL),5528472.0,592320.0,1458176.0,1056956.0
Samsung Electronica da Amazonia(SEDA),5200799.0,1510972.0,6092245.0,966821.0
Samsung Austin Semiconductor(SAS),4940748.0,1293458.0,3586127.0,104747.0
Samsung India Electronics(SIEL),4563407.0,2256194.0,8827028.0,753164.0
Samsung Display Vietnam(SDV),3165239.0,3437791.0,5230581.0,-98102.0
