구분,당기말 | 장부금액,당기말 | 공정가치,전기말 | 장부금액,전기말 | 공정가치
금융자산,,금융자산,,금융자산
현금및현금성자산,2763768.0,(*1),3778371.0,(*1)
단기금융상품,25510064.0,(*1),30170656.0,(*1)
매출채권,27881777.0,(*1),23514012.0,(*1)
장기매도가능금융자산(*2),973353.0,895670,913989.0,821478
기타(*3),3623263.0,(*3),3416654.0,361226
소계,60752225.0,,61793682.0,
금융부채,,금융부채,,금융부채
매입채무,6398629.0,(*1),6162650.0,(*1)
단기차입금,12229701.0,(*1),9061167.0,(*1)
미지급금,9465685.0,(*1),7519413.0,(*1)
유동성장기부채,5201.0,(*1),5854.0,(*1)
사채,46808.0,61943,58542.0,76129
장기미지급금,1537329.0,(*1),2585366.0,2587619
기타,3549549.0,(*1),6037993.0,(*1)
소계,33232902.0,,31430985.0,
