구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,407536.0,0.0,1309566.0,6958.0
종속기업,Samsung Electronics America(SEA),27304190.0,0.0,165596.0,0.0
종속기업,Samsung (China) Investment(SCIC),531943.0,0.0,8069.0,0.0
종속기업,Samsung (China) Semiconductor(SCS),250323.0,73599.0,4141842.0,9496.0
종속기업,Samsung Electronics Vietnam(SEV),2832861.0,2732.0,10270592.0,44.0
종속기업,Samsung Electronics Europe Holding(SEEH),630.0,0.0,0.0,0.0
종속기업,Samsung Semiconductor(SSI),15747630.0,0.0,342441.0,4.0
종속기업,Samsung Electronics Vietnam THAINGUYEN(SEVT),3542388.0,26966.0,11462924.0,2700.0
종속기업,Samsung Electronics Huizhou(SEHZ),1134957.0,261.0,8337689.0,1519.0
종속기업,Shanghai Samsung Semiconductor(SSS),13574341.0,0.0,0.0,0.0
종속기업,Samsung Asia Private(SAPL),1360136.0,0.0,6378.0,0.0
종속기업,Samsung Electronica da Amazonia(SEDA),896001.0,29.0,5449.0,0.0
종속기업,Samsung Austin Semiconductor(SAS),421.0,61495.0,3586127.0,4410.0
종속기업,Samsung India Electronics(SIEL),2304904.0,2011.0,172035.0,0.0
종속기업,Samsung Display Vietnam(SDV),512671.0,0.0,0.0,0.0
종속기업,Samsung Electronics Europe Logistics(SELS),3882166.0,6.0,9735.0,0.0
종속기업,Samsung Suzhou LCD(SSL),27238.0,0.0,0.0,0.0
종속기업,Thai Samsung Electronics(TSE),1866325.0,171.0,1595265.0,0.0
종속기업,Samsung Electronics Slovakia(SESK),407437.0,27.0,1338.0,0.0
종속기업,Samsung Electronics Taiwan(SET),2333465.0,0.0,801.0,0.0
종속기업,Samsung Electronics HCMC CE Complex(SEHC),356867.0,30370.0,1266630.0,0.0
종속기업,Samsung Electronics Hungarian(SEH),160358.0,2.0,3213.0,108.0
종속기업,Samsung Electronics GmbH(SEG),3164653.0,0.0,28507.0,0.0
종속기업,Samsung Display Dongguan(SDD),296104.0,0.0,0.0,0.0
종속기업,Samsung Electronics (UK)(SEUK),449346.0,0.0,56269.0,0.0
종속기업,기타,34476164.0,8757.0,22563761.0,4402.0
종속기업,종속기업 계,117821055.0,206426.0,65334227.0,29641.0
