0,1,2,3,4,5,6,7,8,9
구 분,내 역,내 역,내 역,내 역,내 역,내 역,내 역,내 역,내 역
전반감사계획 (감사착수단계),수행시기,2017.05.26 ~ 09.28 2018.01.02 ~ 01.09,2017.05.26 ~ 09.28 2018.01.02 ~ 01.09,2017.05.26 ~ 09.28 2018.01.02 ~ 01.09,2017.05.26 ~ 09.28 2018.01.02 ~ 01.09,2017.05.26 ~ 09.28 2018.01.02 ~ 01.09,38,일,일
전반감사계획 (감사착수단계),주요내용,"감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정","감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및 감사절차의 성격, 시기 및 범위 등을 결정"
현장감사 주요내용,수행시기,수행시기,수행시기,투입인원,투입인원,투입인원,투입인원,주요 감사업무 수행내용,주요 감사업무 수행내용
현장감사 주요내용,수행시기,수행시기,수행시기,상주,상주,비상주,비상주,주요 감사업무 수행내용,주요 감사업무 수행내용
현장감사 주요내용,2017.09.04 ~ 09.29,20,일,21,명,8,명,시스템 및 내부통제감사,시스템 및 내부통제감사
현장감사 주요내용,2017.12.11 ~ 12.29,14,일,39,명,7,명,조기입증감사,조기입증감사
현장감사 주요내용,2018.01.08 ~ 01.26,15,일,51,명,7,명,조회확인 등 입증절차 업데이트,조회확인 등 입증절차 업데이트
현장감사 주요내용,2018.01.27 ~ 02.27,22,일,28,명,8,명,재무제표검증 및 감사종결절차 수행,재무제표검증 및 감사종결절차 수행
재고자산실사(입회),실사(입회)시기,2017.11.30 ~ 12.01 2017.12.03 ~ 12.04,2017.11.30 ~ 12.01 2017.12.03 ~ 12.04,2017.11.30 ~ 12.01 2017.12.03 ~ 12.04,2017.11.30 ~ 12.01 2017.12.03 ~ 12.04,2017.11.30 ~ 12.01 2017.12.03 ~ 12.04,4,일,일
재고자산실사(입회),실사(입회)장소,"수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등","수원, 기흥, 구미, 광주사업장 등"
재고자산실사(입회),실사(입회)대상,"원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등","원재료, 재공품, 제품 등"
금융자산실사(입회),실사(입회)시기,2018.01.04 ~ 01.05,2018.01.04 ~ 01.05,2018.01.04 ~ 01.05,2018.01.04 ~ 01.05,2018.01.04 ~ 01.05,2,일,일
금융자산실사(입회),실사(입회)장소,"태평로, 기흥사업장 등","태평로, 기흥사업장 등","태평로, 기흥사업장 등","태평로, 기흥사업장 등","태평로, 기흥사업장 등","태평로, 기흥사업장 등","태평로, 기흥사업장 등","태평로, 기흥사업장 등"
금융자산실사(입회),실사(입회)대상,"현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등","현금, 유가증권 등"
외부조회,금융거래조회,O,O,채권채무조회,채권채무조회,채권채무조회,O,변호사조회,O
외부조회,기타조회,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등,타처보관재고자산조회 등
지배기구와의 커뮤니케이션,커뮤니케이션 횟수,4,4,회,회,회,회,회,회
지배기구와의 커뮤니케이션,수행시기,2017.04.26 / 2017.07.26 / 2017.10.30 / 2018.01.30,2017.04.26 / 2017.07.26 / 2017.10.30 / 2018.01.30,2017.04.26 / 2017.07.26 / 2017.10.30 / 2018.01.30,2017.04.26 / 2017.07.26 / 2017.10.30 / 2018.01.30,2017.04.26 / 2017.07.26 / 2017.10.30 / 2018.01.30,2017.04.26 / 2017.07.26 / 2017.10.30 / 2018.01.30,2017.04.26 / 2017.07.26 / 2017.10.30 / 2018.01.30,2017.04.26 / 2017.07.26 / 2017.10.30 / 2018.01.30
