구분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부가액,7832889.0,14447291.0,30616157.0,9139495.0,781129.0,62816961.0
취득원가,7832889.0,20818067.0,105582797.0,9139495.0,1840581.0,145213829.0
감가상각누계액  (손상차손누계액 포함),0.0,-6370776.0,-74966640.0,0.0,-1059452.0,-82396868.0
일반취득 및 자본적지출,7620.0,2040029.0,21367408.0,-2628326.0,1083811.0,21870542.0
감가상각,0.0,-1070122.0,-12404644.0,0.0,-365031.0,-13839797.0
처분/폐기,-15328.0,-16213.0,-73380.0,0.0,-3393.0,-108314.0
기타,-4.0,-27570.0,24245.0,-130956.0,-2614.0,-136899.0
기말장부가액,7825177.0,15373415.0,39529786.0,6380213.0,1493902.0,70602493.0
취득원가,7825177.0,22801947.0,122746311.0,6380213.0,2821585.0,162575233.0
감가상각누계액  (손상차손누계액 포함),0.0,-7428532.0,-83216525.0,0.0,-1327683.0,-91972740.0
