과 목,제 50 (당) 기,제 50 (당) 기_2,제 49 (전) 기,제 49 (전) 기_2
Ⅰ. 미처분이익잉여금,,18556368.0,,14031533.0
1. 전기이월이익잉여금,30.0,,31.0,
2. 회계정책변경누적효과 등,58324.0,,0.0,
"3. 분기배당금  당기 - 주당배당금(률) : 1,062원(1062%)  전기 - 주당배당금(률) : 21,000원(420%)",-7213815.0,,-2896772.0,
4. 자기주식 소각,-7103298.0,,-11872563.0,
5. 당기순이익,32815127.0,,28800837.0,
Ⅱ. 임의적립금 등의 이입액,,0.0,,0.0
Ⅲ. 이익잉여금처분액,,18556338.0,,14031503.0
1. 기업합리화적립금,5000000.0,,3000000.0,
"2. 배당금  주당배당금(률)  당기 - 보통주 : 354원(354%)  우선주 : 355원(355%)  전기 - 보통주 : 21,500원(430%)  우선주 : 21,550원(431%)",2405428.0,,2929530.0,
3. 연구및인력개발준비금,10000000.0,,8000000.0,
4. 시설적립금,1150910.0,,101973.0,
Ⅳ. 차기이월미처분이익잉여금,,30.0,,30.0
