구분,기업명(*1),채권 등,채무 등
종속기업,삼성디스플레이,15338.0,182541.0
종속기업,Samsung Electronics America(SEA),4932605.0,72147.0
종속기업,Samsung (China) Investment(SCIC),36616.0,5215.0
종속기업,Harman과 그 종속기업(*2),5343.0,8493.0
종속기업,Samsung Electronics Vietnam(SEV),518366.0,1225669.0
종속기업,Samsung Electronics Vietnam THAINGUYEN(SEVT),673277.0,2406151.0
종속기업,Samsung (China) Semiconductor(SCS),69891.0,331097.0
종속기업,Samsung Semiconductor(SSI),3375191.0,81359.0
종속기업,Samsung Electronics Europe Holding(SEEH),517.0,0.0
종속기업,Samsung Display Vietnam(SDV),118248.0,134.0
종속기업,Samsung Asia Private(SAPL),105781.0,13251.0
종속기업,Samsung Electronics Huizhou(SEHZ),92360.0,782167.0
종속기업,Samsung India Electronics(SIEL),2026325.0,169499.0
종속기업,Samsung Electronica da Amazonia(SEDA),427141.0,1398.0
종속기업,Samsung Austin Semiconductor(SAS),7130.0,259818.0
종속기업,Shanghai Samsung Semiconductor(SSS),3304263.0,63.0
종속기업,Thai Samsung Electronics(TSE),124502.0,171847.0
종속기업,Samsung Electronics (UK)(SEUK),48993.0,20224.0
종속기업,Samsung Electronics GmbH(SEG),492312.0,2473.0
종속기업,Samsung Electronics HCMC CE Complex(SEHC),252661.0,235795.0
종속기업,Samsung Electronics Europe Logistics(SELS),697276.0,1567.0
종속기업,Samsung Electronics Hungarian(SEH),61756.0,30.0
