구 분,기업명(*1),채권 등,채무 등
종속기업,Samsung Suzhou LCD(SSL),4499.0,0.0
종속기업,Samsung Electronics France(SEF),551773.0,333.0
종속기업,Samsung Electronics Benelux(SEBN),24733.0,2402.0
종속기업,기타,6573262.0,2243236.0
종속기업,종속기업 계(*2),24540159.0,8216909.0
관계기업 및 공동기업,삼성에스디에스,5192.0,467438.0
관계기업 및 공동기업,삼성전기,2989.0,112336.0
관계기업 및 공동기업,삼성SDI,102532.0,52825.0
관계기업 및 공동기업,제일기획,129.0,461326.0
관계기업 및 공동기업,기타,94057.0,104942.0
관계기업 및 공동기업,관계기업 및 공동기업 계,204899.0,1198867.0
그 밖의 특수관계자,삼성물산,196829.0,1678553.0
그 밖의 특수관계자,기타(*3),14849.0,119154.0
그 밖의 특수관계자,그 밖의 특수관계자 계,211678.0,1797707.0
기타(*4),삼성엔지니어링,1029.0,428191.0
기타(*4),에스원,2454.0,29113.0
기타(*4),기타,1133.0,29107.0
기타(*4),기타 계,4616.0,486411.0
