기업명(*1),자산,부채,매출액,당기순이익(손실)
삼성디스플레이㈜,46543974.0,6421516.0,27088475.0,407791.0
"Samsung Electronics America, Inc.(SEA)",34704039.0,13992397.0,33859423.0,1127719.0
Harman과 그 종속기업(*2),15609084.0,5791272.0,10075626.0,104459.0
"Samsung (CHINA) Investment Co., Ltd.(SCIC)",14637222.0,11701871.0,3098948.0,581115.0
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd.(SEVT)",13847934.0,2075180.0,32831993.0,2305089.0
"Samsung (China) Semiconductor Co., Ltd.(SCS)",12370070.0,2678742.0,5445396.0,537037.0
"Samsung Electronics Vietnam Co., Ltd.(SEV)",12367857.0,1418876.0,22350791.0,1757684.0
Samsung Electronics Europe Holding Cooperatief U.A.(SEEH),10682847.0,7662042.0,0.0,21915.0
"Samsung Semiconductor, Inc.(SSI)",9194190.0,3795273.0,16473214.0,211312.0
Samsung Asia Private Ltd.(SAPL),9137262.0,579618.0,1572146.0,1265359.0
"Samsung Display Vietnam Co., Ltd.(SDV)",7267124.0,4587477.0,16613123.0,601469.0
Samsung Electronica da Amazonia Ltda.(SEDA),7058719.0,1594907.0,7252673.0,887298.0
Samsung India Electronics Private Ltd.(SIEL),7042872.0,3588241.0,12902906.0,448678.0
Samsung Austin Semiconductor LLC.(SAS),6437865.0,556765.0,3897162.0,571391.0
"Shanghai Samsung Semiconductor Co., Ltd.(SSS)",5880616.0,4446885.0,26067175.0,265801.0
