구분,삼성전기㈜,삼성에스디에스㈜,삼성바이오로직스㈜,삼성SDI㈜,㈜제일기획
요약 재무상태표:,,,,,
유동자산,3507525.0,6383847.0,1356262.0,5181415.0,1787299.0
비유동자산,5166724.0,2637389.0,4555365.0,14670682.0,504347.0
유동부채,1850405.0,1698187.0,690505.0,3741523.0,1115652.0
비유동부채,1393746.0,597891.0,866668.0,3450229.0,219178.0
요약 포괄손익계산서:,,,,,
매출,8040818.0,10719632.0,701592.0,10097426.0,3421673.0
계속영업손익(*),605725.0,736458.0,202904.0,356549.0,138055.0
세후중단영업손익(*),-91428.0,0.0,0.0,0.0,0.0
기타포괄손익(*),26270.0,-17665.0,-3919.0,137272.0,2172.0
총포괄손익(*),540567.0,718793.0,198985.0,493821.0,140227.0
