지역,기업명,업종,지분율 (%)(*1)
국내,삼성디스플레이㈜,DP 생산 및 판매,84.8
국내,에스유머티리얼스㈜,DP 부품 생산,50.0
국내,스테코㈜,반도체 부품 생산,70.0
국내,세메스㈜,반도체/FPD 장비 생산 및 판매,91.5
국내,삼성전자서비스㈜,전자제품 수리서비스,99.3
국내,삼성전자서비스씨에스㈜,서비스 콜센터,100.0
국내,삼성전자판매㈜,전자제품 판매,100.0
국내,삼성전자로지텍㈜,종합물류대행,100.0
국내,삼성메디슨㈜,의료기기 생산 및 판매,68.5
국내,㈜미래로시스템,반도체 S/W,99.9
국내,㈜도우인시스(*2),DP 부품 생산,48.2
국내,지에프㈜,DP 부품 생산,72.7
국내,㈜하만인터내셔널코리아,소프트웨어 개발 및 공급 등,100.0
국내,SVIC 21호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 22호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 26호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 27호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 28호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 29호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 32호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 33호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 37호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 40호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 42호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 43호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 45호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,SVIC 48호 신기술투자조합,"신기술사업자, 벤처기업 투자",99.0
국내,반도체성장 전문투자형 사모 투자신탁,반도체산업 투자,66.7
