구분,기업명(*1),채권 등,채무 등(*2)
종속기업,삼성디스플레이㈜,16232.0,163386.0
종속기업,"Samsung Electronics America, Inc.(SEA)",4698974.0,157317.0
종속기업,Harman과 그 종속기업(*3),0.0,15017.0
종속기업,"Samsung (CHINA) Investment Co., Ltd.(SCIC)",88657.0,16564.0
종속기업,"Samsung Electronics Vietnam THAINGUYEN Co., Ltd.(SEVT)",599646.0,1931886.0
종속기업,"Samsung (China) Semiconductor Co., Ltd.(SCS)",139874.0,419294.0
종속기업,"Samsung Electronics Vietnam Co., Ltd.(SEV)",389210.0,1798113.0
종속기업,Samsung Electronics Europe Holding Cooperatief U.A.(SEEH),259.0,0.0
종속기업,"Samsung Semiconductor, Inc.(SSI)",2845229.0,316567.0
종속기업,Samsung Asia Private Ltd.(SAPL),111318.0,13200.0
종속기업,"Samsung Display Vietnam Co., Ltd.(SDV)",63993.0,0.0
종속기업,Samsung Electronica da Amazonia Ltda.(SEDA),428198.0,2148.0
종속기업,Samsung India Electronics Private Ltd.(SIEL),2003078.0,241310.0
종속기업,Samsung Austin Semiconductor LLC.(SAS),6586.0,333194.0
종속기업,"Shanghai Samsung Semiconductor Co., Ltd.(SSS)",2455224.0,3.0
종속기업,"Thai Samsung Electronics Co., Ltd.(TSE)",108403.0,221205.0
종속기업,Samsung Electronics (UK) Ltd.(SEUK),85813.0,25329.0
종속기업,"Samsung Electronics HCMC CE Complex Co., Ltd.(SEHC)",274829.0,303913.0
종속기업,Samsung Electronics GmbH(SEG),737175.0,2276.0
종속기업,Samsung Electronics Hungarian Private Co. Ltd.(SEH),55907.0,26.0
종속기업,"Samsung SemiConductor Xian Co., Ltd.(SSCX)",1821955.0,0.0
종속기업,Samsung Electronics Europe Logistics B.V.(SELS),957252.0,1499.0
종속기업,Samsung Electronics Benelux B.V.(SEBN),3465.0,3275.0
종속기업,"Samsung Suzhou LCD Co., Ltd.(SSL)",5257.0,0.0
종속기업,"Samsung Display Dongguan Co., Ltd.(SDD)",9737.0,0.0
종속기업,기타,6967309.0,2076526.0
종속기업,종속기업 계(*4),24873580.0,8042048.0
