과 목,주 석,자본금,주식발행 초과금,이익잉여금,기타자본항목,총 계
2019.1.1(전기초),,897514.0,4403893.0,166555532.0,1131186.0,172988125.0
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,0.0,0.0,15353323.0,0.0,15353323.0
2. 기타포괄손익-공정가치금융자산평가손익,"6, 20",0.0,0.0,-1286.0,74485.0,73199.0
3. 순확정급여부채(자산) 재측정요소,"14, 20",0.0,0.0,0.0,-925157.0,-925157.0
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,19,0.0,0.0,-9619243.0,0.0,-9619243.0
2019.12.31(전기말),,897514.0,4403893.0,172288326.0,280514.0,177870247.0
2020.1.1(당기초),,897514.0,4403893.0,172288326.0,280514.0,177870247.0
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,0.0,0.0,15615018.0,0.0,15615018.0
2. 기타포괄손익-공정가치금융자산평가손익,"6, 20",0.0,0.0,0.0,93251.0,93251.0
3. 순확정급여부채(자산) 재측정요소,"14, 20",0.0,0.0,0.0,-642550.0,-642550.0
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,19,0.0,0.0,-9619242.0,0.0,-9619242.0
2020.12.31(당기말),,897514.0,4403893.0,178284102.0,-268785.0,183316724.0
