기 업 명,당기말 | 보유주식수 (주),당기말 | 지분율(%) (*),당기말 | 취득원가,당기말 | 장부금액 (시장가치),전기말 | 장부금액 (시장가치)
삼성중공업㈜,100693398.0,16.0,735488.0,708882.0,732041.0
㈜호텔신라,2004717.0,5.1,13957.0,164988.0,182028.0
㈜아이마켓코리아,647320.0,1.8,324.0,5658.0,6732.0
㈜케이티스카이라이프,240000.0,0.5,3344.0,2114.0,2093.0
㈜용평리조트,400000.0,0.8,1869.0,1702.0,2400.0
㈜에이테크솔루션,1592000.0,15.9,26348.0,19263.0,11733.0
㈜원익홀딩스,1759171.0,2.3,15410.0,11153.0,9605.0
㈜원익아이피에스,1850936.0,3.8,16214.0,81904.0,66356.0
㈜동진쎄미켐,2467894.0,4.8,48277.0,90078.0,41337.0
솔브레인홀딩스㈜,461741.0,2.2,30752.0,20825.0,70400.0
솔브레인㈜,373368.0,4.8,24866.0,101668.0,0.0
㈜에스앤에스텍,1716116.0,8.0,65933.0,74651.0,0.0
와이아이케이㈜,9601617.0,11.9,47336.0,60010.0,0.0
㈜케이씨텍,1022216.0,4.9,20720.0,31433.0,0.0
㈜엘오티베큠,1267668.0,7.7,18990.0,24086.0,0.0
㈜뉴파워프라즈마,2140939.0,4.9,12739.0,14109.0,0.0
계,,,1082567.0,1412524.0,1124725.0
