기업명(*),당기 | 자산,당기 | 부채,당기 | 매출액,당기 | 당기순이익
삼성디스플레이㈜,50039755.0,7612332.0,27149102.0,1798100.0
"Samsung Electronics America, Inc. (SEA)",36765070.0,15828083.0,35237365.0,1623555.0
"Samsung (CHINA) Investment Co., Ltd. (SCIC)",15438819.0,12358881.0,2475454.0,127051.0
"Samsung (China) Semiconductor Co., Ltd. (SCS)",14348735.0,3511003.0,5321312.0,1100619.0
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),11495430.0,7641709.0,0.0,16150.0
Samsung Asia Pte. Ltd. (SAPL),9552755.0,523402.0,1634692.0,968504.0
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",7678989.0,5010041.0,25829119.0,271691.0
Samsung Eletronica da Amazonia Ltda. (SEDA),6280131.0,1556057.0,6390696.0,819561.0
Samsung India Electronics Private Ltd. (SIEL),6250492.0,2523027.0,10943343.0,611571.0
"Thai Samsung Electronics Co., Ltd. (TSE)",2920299.0,451055.0,3744080.0,160264.0
Samsung Electronics (UK) Ltd. (SEUK),2767563.0,1886447.0,4987522.0,133016.0
Samsung Electronics GmbH (SEG),2687535.0,2626979.0,6306675.0,605.0
Samsung Electronics Hungarian Private Co. Ltd. (SEH),2230457.0,504952.0,3665360.0,148056.0
Samsung Electronics Benelux B.V. (SEBN),2145488.0,736480.0,2324308.0,58579.0
Samsung Electronics Europe Logistics B.V. (SELS),1700033.0,1550350.0,13444960.0,20623.0
