구 분,전기 | 삼성전기㈜,전기 | 삼성에스디에스㈜,전기 | 삼성바이오로직스㈜,전기 | 삼성SDI㈜,전기 | ㈜제일기획
요약 재무상태표:,,,,,
유동자산,4150303.0,6581153.0,1751347.0,5657405.0,1742270.0
비유동자산,5075196.0,2573766.0,4672854.0,15876827.0,500194.0
유동부채,1914880.0,1720757.0,589301.0,4983633.0,1046224.0
비유동부채,1400223.0,575054.0,1236117.0,3191672.0,180710.0
요약 포괄손익계산서:,,,,,
매출,8208738.0,11017432.0,1164777.0,11294770.0,2747922.0
계속영업손익(*),595938.0,443455.0,240975.0,574723.0,157400.0
세후중단영업손익(*),8024.0,0.0,0.0,0.0,0.0
기타포괄손익(*),-33475.0,-134669.0,3354.0,144901.0,-14795.0
총포괄손익(*),570487.0,308786.0,244329.0,719624.0,142605.0
