구 분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부금액,7780994.0,21841816.0,57135313.0,15307502.0,1601400.0,103667025.0
- 취득원가,7782125.0,33244532.0,175487461.0,15307502.0,4022759.0,235844379.0
- 감가상각누계액(손상 포함),-1131.0,-11402716.0,-118352148.0,0.0,-2421359.0,-132177354.0
일반취득 및 자본적지출(*),154.0,3246081.0,26182600.0,13481591.0,1085750.0,43996176.0
감가상각,-439.0,-1827588.0,-21889623.0,0.0,-594290.0,-24311940.0
처분ㆍ폐기,-27720.0,-20264.0,-137496.0,0.0,-8247.0,-193727.0
기타,0.0,6577.0,135746.0,-20729.0,-12142.0,109452.0
기말장부금액,7752989.0,23246622.0,61426540.0,28768364.0,2072471.0,123266986.0
- 취득원가,7754559.0,36449026.0,199823339.0,28768364.0,4886059.0,277681347.0
- 감가상각누계액(손상 포함),-1570.0,-13202404.0,-138396799.0,0.0,-2813588.0,-154414361.0
