기 업 명,당기말 | 보유주식수 (주),당기말 | 지분율 (%)(*),당기말 | 취득원가,당기말 | 장부금액 (시장가치),전기말 | 장부금액 (시장가치)
삼성중공업㈜,134027281.0,15.2,932158.0,1038712.0,684879.0
㈜호텔신라,2004717.0,5.1,13957.0,131108.0,166592.0
㈜아이마켓코리아,647320.0,1.9,324.0,5560.0,6538.0
㈜케이티스카이라이프,240000.0,0.5,3344.0,1421.0,1954.0
㈜용평리조트,400000.0,0.8,1869.0,1220.0,1412.0
㈜에이테크솔루션,1592000.0,15.9,26348.0,17241.0,12879.0
㈜원익홀딩스,1759171.0,2.3,15410.0,5928.0,5972.0
㈜원익아이피에스,1850936.0,3.8,16214.0,62839.0,45811.0
㈜동진쎄미켐,2467894.0,4.8,48277.0,95508.0,73913.0
솔브레인홀딩스㈜,0.0,,0.0,0.0,10989.0
솔브레인㈜,437339.0,5.6,40382.0,132952.0,81357.0
㈜에스앤에스텍,1716116.0,8.0,65933.0,77740.0,45220.0
와이아이케이㈜,9601617.0,11.7,47336.0,47864.0,26933.0
㈜케이씨텍,1022216.0,4.9,20720.0,27395.0,15129.0
㈜엘오티베큠,1267668.0,7.1,18990.0,25544.0,14326.0
㈜뉴파워프라즈마,2140939.0,4.9,12739.0,11240.0,7579.0
㈜에프에스티,1522975.0,7.0,43009.0,37541.0,23758.0
㈜디엔에프,810030.0,7.0,20964.0,19400.0,10692.0
Marvell Technology. Inc.,173187.0,0.0,11705.0,13468.0,8129.0
"SoundHound AI, Inc.",1702957.0,0.7,13719.0,4655.0,3820.0
계,,,1353398.0,1757336.0,1247882.0
