기업명(*),전기 | 자산,전기 | 부채,전기 | 매출액,전기 | 당기순이익
삼성디스플레이㈜,57302567.0,7282718.0,30779405.0,4365588.0
"Samsung Electronics America, Inc. (SEA)",37883156.0,12258315.0,46738920.0,219670.0
Samsung Asia Pte. Ltd. (SAPL),26894611.0,2678285.0,0.0,8699679.0
"Samsung (China) Semiconductor Co., Ltd. (SCS)",17095000.0,2970835.0,9679757.0,638385.0
"Samsung (CHINA) Investment Co., Ltd. (SCIC)",13830988.0,9764636.0,2865831.0,257878.0
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),10841515.0,6272800.0,0.0,57997.0
Samsung India Electronics Private Ltd. (SIEL),6772537.0,3571863.0,16180492.0,508510.0
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)",5067891.0,2858382.0,21370622.0,318578.0
Samsung Eletronica da Amazonia Ltda. (SEDA),4600508.0,1342517.0,7485104.0,-38490.0
"Thai Samsung Electronics Co., Ltd. (TSE)",3263473.0,486820.0,4824734.0,168524.0
Samsung Electronics (UK) Ltd. (SEUK),2819792.0,1708064.0,5929357.0,243396.0
Samsung Electronics Benelux B.V. (SEBN),2377730.0,597044.0,2834008.0,25411.0
Samsung Electronics Hungarian Private Co. Ltd. (SEH),2374317.0,452628.0,3935745.0,199742.0
Samsung Electronics Europe Logistics B.V. (SELS),2194975.0,2021491.0,15409984.0,20347.0
세메스㈜,2065558.0,602323.0,2889238.0,185762.0
